participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0,13,8,4,1,1,1,1,1,1,1,-1,-1,0,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,0,14,8,6,1,-1,,1,1,-1,1,1,-1,1,-1,-1,-1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
4,1,0,16,9,7,1,,,1,,1,1,1,-1,1,-1,1,-1,,,,,,,,1,,,,-1,,-1,,,,,,-1,,-1,,,,,,,,,,,1,,,,,,,,
5,0,0,20,4,10,-1,0,-1,-1,0,-1,-1,-1,1,1,,1,1,,,,,,-1,,-1,,,,,-1,0,,-1,0,,,,,0,,,,,0,,,,,,,,,,,,,,
8,0,2,17,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,,,,0,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,1,21,7,10,1,1,-1,-1,,-1,-1,1,-1,0,-1,1,-1,,,,,,1,,-1,,,,1,0,0,,0,-1,,,1,,-1,,,,,,,,,,,,,,,,,,,
13,0,0,17,4,8,1,0,-1,0,-1,-1,,-1,,1,1,0,,,,,,,0,,-1,,,,1,-1,-1,,,,,,,,,,-1,,,0,,,,,,,,,,,,,,
15,0,1,28,14,13,1,-1,-1,0,1,1,1,-1,1,1,1,1,1,,,,,,1,,-1,,,,1,-1,-1,,-1,-1,,,-1,,1,,-1,,,-1,,,,1,1,-1,-1,,,,,,,
16,0,0,23,8,12,-1,1,-1,0,1,-1,-1,-1,1,1,-1,1,1,,,,,,1,,-1,,,,1,-1,0,,-1,0,,,-1,,-1,,-1,,,,,,,,,,,,,,,,,
