n-votes,n-comments,n-visitors,n-voters,n-commenters
0,0,1,0,0
0,1,1,0,1
1,1,1,1,1
1,2,1,1,2
2,2,1,2,2
2,3,1,2,3
3,3,1,3,3
3,4,1,3,4
4,4,1,4,4
4,5,1,4,5
5,5,1,5,5
5,6,1,5,6
6,6,1,6,6
6,7,1,6,7
7,7,1,7,7
7,8,1,7,8
8,8,1,8,8
8,9,1,8,9
9,9,1,9,9
9,10,1,9,10
10,10,1,10,10
10,11,1,10,11
11,11,1,11,11
11,12,1,11,12
12,12,1,12,12
12,13,1,12,13
13,13,1,13,13
13,13,2,13,13
14,13,2,14,13
15,13,2,15,13
16,13,2,16,13
17,13,2,17,13
18,13,2,18,13
19,13,2,19,13
20,13,2,20,13
21,13,2,21,13
22,13,2,22,13
23,13,2,23,13
24,13,2,24,13
25,13,2,25,13
26,13,2,26,13
26,13,3,26,13
27,13,3,27,13
28,13,3,28,13
29,13,3,29,13
30,13,3,30,13
30,13,4,30,13
30,13,5,30,13
30,13,6,30,13
30,13,7,30,13
30,13,8,30,13
30,13,9,30,13
31,13,9,31,13
32,13,9,32,13
33,13,9,33,13
33,13,10,33,13
34,13,10,34,13
34,13,11,34,13
35,13,11,35,13
36,13,11,36,13
37,13,11,37,13
38,13,11,38,13
38,13,12,38,13
38,13,13,38,13
38,13,14,38,13
38,13,15,38,13
38,13,16,38,13
38,13,17,38,13
38,13,18,38,13
38,13,19,38,13
38,13,20,38,13
38,13,21,38,13
39,13,21,39,13
39,13,22,39,13
39,13,23,39,13
39,13,24,39,13
39,13,25,39,13
39,13,26,39,13
39,13,27,39,13
39,13,28,39,13
39,13,29,39,13
40,13,29,40,13
40,13,30,40,13
41,13,30,41,13
42,13,30,42,13
43,13,30,43,13
43,13,31,43,13
43,13,32,43,13
43,13,33,43,13
43,13,34,43,13
43,13,35,43,13
44,13,35,44,13
44,13,36,44,13
44,13,37,44,13
45,13,37,45,13
45,13,38,45,13
45,13,39,45,13
45,13,40,45,13
46,13,40,46,13
46,13,41,46,13
47,13,41,47,13
48,13,41,48,13
48,13,42,48,13
49,13,42,49,13
49,13,43,49,13
49,13,44,49,13
49,13,45,49,13
49,13,46,49,13
49,13,47,49,13
49,13,48,49,13
50,13,48,50,13
50,13,49,50,13
50,13,50,50,13
51,13,50,51,13
51,13,51,51,13
51,13,52,51,13
51,13,53,51,13
52,13,53,52,13
52,13,54,52,13
52,13,55,52,13
53,13,55,53,13
53,13,56,53,13
53,13,57,53,13
53,13,58,53,13
54,13,58,54,13
55,13,58,55,13
56,13,58,56,13
57,13,58,57,13
57,13,59,57,13
57,13,60,57,13
57,13,61,57,13
57,13,62,57,13
57,13,63,57,13
57,13,64,57,13
58,13,64,58,13
59,13,64,59,13
59,13,65,59,13
59,13,66,59,13
59,13,67,59,13
60,13,67,60,13
60,13,68,60,13
60,13,69,60,13
60,13,70,60,13
61,13,70,61,13
61,13,71,61,13
61,13,72,61,13
61,13,73,61,13
61,13,74,61,13
61,13,75,61,13
62,13,75,62,13
63,13,75,63,13
64,13,75,64,13
65,13,75,65,13
65,13,76,65,13
65,13,77,65,13
65,13,78,65,13
66,13,78,66,13
67,13,78,67,13
68,13,78,68,13
69,13,78,69,13
69,13,79,69,13
70,13,79,70,13
71,13,79,71,13
72,13,79,72,13
73,13,79,73,13
74,13,79,74,13
75,13,79,75,13
75,13,80,75,13
76,13,80,76,13
77,13,80,77,13
78,13,80,78,13
79,13,80,79,13
80,13,80,80,13
81,13,80,81,13
81,13,81,81,13
81,13,82,81,13
82,13,82,82,13
83,13,82,83,13
84,13,82,84,13
85,13,82,85,13
86,13,82,86,13
87,13,82,87,13
87,13,83,87,13
88,13,83,88,13
89,13,83,89,13
89,13,84,89,13
90,13,84,90,13
90,13,85,90,13
91,13,85,91,13
91,13,86,91,13
92,13,86,92,13
93,13,86,93,13
94,13,86,94,13
95,13,86,95,13
95,14,86,95,14
96,14,86,96,14
97,14,86,97,14
98,14,86,98,14
99,14,86,99,14
100,14,86,100,14
101,14,86,101,14
102,14,86,102,14
103,14,86,103,14
104,14,86,104,14
105,14,86,105,14
106,14,86,106,14
107,14,86,107,14
108,14,86,108,14
109,14,86,109,14
110,14,86,110,14
111,14,86,111,14
112,14,86,112,14
113,14,86,113,14
113,14,87,113,14
114,14,87,114,14
115,14,87,115,14
116,14,87,116,14
117,14,87,117,14
118,14,87,118,14
118,15,87,118,15
119,15,87,119,15
120,15,87,120,15
121,15,87,121,15
122,15,87,122,15
122,15,88,122,15
123,15,88,123,15
124,15,88,124,15
125,15,88,125,15
126,15,88,126,15
127,15,88,127,15
128,15,88,128,15
129,15,88,129,15
130,15,88,130,15
131,15,88,131,15
132,15,88,132,15
132,16,88,132,16
133,16,88,133,16
134,16,88,134,16
135,16,88,135,16
136,16,88,136,16
137,16,88,137,16
138,16,88,138,16
139,16,88,139,16
140,16,88,140,16
141,16,88,141,16
142,16,88,142,16
143,16,88,143,16
144,16,88,144,16
145,16,88,145,16
146,16,88,146,16
147,16,88,147,16
147,16,89,147,16
148,16,89,148,16
149,16,89,149,16
150,16,89,150,16
151,16,89,151,16
152,16,89,152,16
153,16,89,153,16
154,16,89,154,16
155,16,89,155,16
156,16,89,156,16
157,16,89,157,16
158,16,89,158,16
159,16,89,159,16
160,16,89,160,16
161,16,89,161,16
162,16,89,162,16
163,16,89,163,16
164,16,89,164,16
165,16,89,165,16
165,16,90,165,16
166,16,90,166,16
167,16,90,167,16
168,16,90,168,16
169,16,90,169,16
169,16,91,169,16
170,16,91,170,16
171,16,91,171,16
172,16,91,172,16
173,16,91,173,16
174,16,91,174,16
175,16,91,175,16
176,16,91,176,16
177,16,91,177,16
178,16,91,178,16
179,16,91,179,16
180,16,91,180,16
181,16,91,181,16
182,16,91,182,16
183,16,91,183,16
184,16,91,184,16
185,16,91,185,16
186,16,91,186,16
187,16,91,187,16
188,16,91,188,16
189,16,91,189,16
190,16,91,190,16
191,16,91,191,16
192,16,91,192,16
193,16,91,193,16
194,16,91,194,16
195,16,91,195,16
196,16,91,196,16
197,16,91,197,16
198,16,91,198,16
199,16,91,199,16
200,16,91,200,16
201,16,91,201,16
202,16,91,202,16
203,16,91,203,16
204,16,91,204,16
205,16,91,205,16
206,16,91,206,16
207,16,91,207,16
208,16,91,208,16
209,16,91,209,16
210,16,91,210,16
211,16,91,211,16
212,16,91,212,16
213,16,91,213,16
214,16,91,214,16
215,16,91,215,16
216,16,91,216,16
217,16,91,217,16
218,16,91,218,16
219,16,91,219,16
220,16,91,220,16
221,16,91,221,16
222,16,91,222,16
223,16,91,223,16
224,16,91,224,16
225,16,91,225,16
226,16,91,226,16
227,16,91,227,16
228,16,91,228,16
229,16,91,229,16
230,16,91,230,16
230,17,91,230,17
231,17,91,231,17
232,17,91,232,17
233,17,91,233,17
234,17,91,234,17
235,17,91,235,17
236,17,91,236,17
237,17,91,237,17
238,17,91,238,17
239,17,91,239,17
239,18,91,239,18
240,18,91,240,18
241,18,91,241,18
242,18,91,242,18
243,18,91,243,18
244,18,91,244,18
245,18,91,245,18
246,18,91,246,18
247,18,91,247,18
248,18,91,248,18
249,18,91,249,18
250,18,91,250,18
251,18,91,251,18
252,18,91,252,18
253,18,91,253,18
253,19,91,253,19
254,19,91,254,19
255,19,91,255,19
256,19,91,256,19
257,19,91,257,19
258,19,91,258,19
259,19,91,259,19
259,20,91,259,20
260,20,91,260,20
261,20,91,261,20
262,20,91,262,20
263,20,91,263,20
264,20,91,264,20
265,20,91,265,20
266,20,91,266,20
267,20,91,267,20
268,20,91,268,20
269,20,91,269,20
270,20,91,270,20
271,20,91,271,20
272,20,91,272,20
273,20,91,273,20
274,20,91,274,20
275,20,91,275,20
276,20,91,276,20
277,20,91,277,20
278,20,91,278,20
279,20,91,279,20
280,20,91,280,20
281,20,91,281,20
282,20,91,282,20
283,20,91,283,20
284,20,91,284,20
285,20,91,285,20
286,20,91,286,20
287,20,91,287,20
288,20,91,288,20
289,20,91,289,20
290,20,91,290,20
291,20,91,291,20
292,20,91,292,20
293,20,91,293,20
294,20,91,294,20
295,20,91,295,20
296,20,91,296,20
297,20,91,297,20
298,20,91,298,20
299,20,91,299,20
300,20,91,300,20
301,20,91,301,20
302,20,91,302,20
303,20,91,303,20
303,20,92,303,20
304,20,92,304,20
305,20,92,305,20
306,20,92,306,20
307,20,92,307,20
308,20,92,308,20
309,20,92,309,20
310,20,92,310,20
311,20,92,311,20
312,20,92,312,20
