n-votes,n-comments,n-visitors,n-voters,n-commenters
0,0,1,0,0
0,1,1,0,1
1,1,1,1,1
1,2,1,1,2
2,2,1,2,2
2,3,1,2,3
3,3,1,3,3
3,4,1,3,4
4,4,1,4,4
4,5,1,4,5
5,5,1,5,5
5,6,1,5,6
6,6,1,6,6
6,7,1,6,7
7,7,1,7,7
7,8,1,7,8
8,8,1,8,8
8,9,1,8,9
9,9,1,9,9
9,10,1,9,10
10,10,1,10,10
10,11,1,10,11
11,11,1,11,11
11,12,1,11,12
12,12,1,12,12
12,13,1,12,13
13,13,1,13,13
13,14,1,13,14
14,14,1,14,14
14,15,1,14,15
15,15,1,15,15
15,16,1,15,16
16,16,1,16,16
16,17,1,16,17
17,17,1,17,17
17,18,1,17,18
18,18,1,18,18
18,19,1,18,19
19,19,1,19,19
19,20,1,19,20
20,20,1,20,20
20,20,2,20,20
21,20,2,21,20
22,20,2,22,20
23,20,2,23,20
24,20,2,24,20
25,20,2,25,20
26,20,2,26,20
27,20,2,27,20
28,20,2,28,20
29,20,2,29,20
30,20,2,30,20
31,20,2,31,20
32,20,2,32,20
33,20,2,33,20
34,20,2,34,20
35,20,2,35,20
36,20,2,36,20
37,20,2,37,20
38,20,2,38,20
39,20,2,39,20
39,21,2,39,21
40,21,2,40,21
40,21,3,40,21
41,21,3,41,21
42,21,3,42,21
43,21,3,43,21
44,21,3,44,21
45,21,3,45,21
46,21,3,46,21
47,21,3,47,21
48,21,3,48,21
49,21,3,49,21
50,21,3,50,21
51,21,3,51,21
52,21,3,52,21
53,21,3,53,21
54,21,3,54,21
55,21,3,55,21
56,21,3,56,21
57,21,3,57,21
58,21,3,58,21
59,21,3,59,21
60,21,3,60,21
60,22,3,60,22
61,22,3,61,22
61,22,4,61,22
62,22,4,62,22
63,22,4,63,22
64,22,4,64,22
64,22,5,64,22
65,22,5,65,22
66,22,5,66,22
67,22,5,67,22
67,22,6,67,22
68,22,6,68,22
69,22,6,69,22
70,22,6,70,22
71,22,6,71,22
72,22,6,72,22
73,22,6,73,22
74,22,6,74,22
74,23,6,74,23
75,23,6,75,23
76,23,6,76,23
77,23,6,77,23
78,23,6,78,23
79,23,6,79,23
80,23,6,80,23
81,23,6,81,23
82,23,6,82,23
83,23,6,83,23
84,23,6,84,23
85,23,6,85,23
86,23,6,86,23
87,23,6,87,23
88,23,6,88,23
89,23,6,89,23
90,23,6,90,23
91,23,6,91,23
92,23,6,92,23
93,23,6,93,23
94,23,6,94,23
95,23,6,95,23
96,23,6,96,23
97,23,6,97,23
98,23,6,98,23
99,23,6,99,23
100,23,6,100,23
101,23,6,101,23
102,23,6,102,23
103,23,6,103,23
103,23,7,103,23
104,23,7,104,23
105,23,7,105,23
106,23,7,106,23
107,23,7,107,23
108,23,7,108,23
109,23,7,109,23
110,23,7,110,23
111,23,7,111,23
112,23,7,112,23
113,23,7,113,23
114,23,7,114,23
115,23,7,115,23
116,23,7,116,23
117,23,7,117,23
118,23,7,118,23
119,23,7,119,23
120,23,7,120,23
121,23,7,121,23
122,23,7,122,23
123,23,7,123,23
124,23,7,124,23
125,23,7,125,23
125,23,8,125,23
126,23,8,126,23
126,23,9,126,23
127,23,9,127,23
127,23,10,127,23
128,23,10,128,23
128,23,11,128,23
129,23,11,129,23
129,23,12,129,23
130,23,12,130,23
131,23,12,131,23
132,23,12,132,23
133,23,12,133,23
134,23,12,134,23
135,23,12,135,23
136,23,12,136,23
137,23,12,137,23
138,23,12,138,23
138,23,13,138,23
139,23,13,139,23
140,23,13,140,23
141,23,13,141,23
142,23,13,142,23
143,23,13,143,23
144,23,13,144,23
145,23,13,145,23
146,23,13,146,23
147,23,13,147,23
148,23,13,148,23
148,23,14,148,23
149,23,14,149,23
150,23,14,150,23
151,23,14,151,23
152,23,14,152,23
153,23,14,153,23
153,23,15,153,23
154,23,15,154,23
155,23,15,155,23
155,23,16,155,23
156,23,16,156,23
157,23,16,157,23
158,23,16,158,23
159,23,16,159,23
159,24,16,159,24
160,24,16,160,24
161,24,16,161,24
162,24,16,162,24
163,24,16,163,24
164,24,16,164,24
165,24,16,165,24
166,24,16,166,24
167,24,16,167,24
167,24,17,167,24
168,24,17,168,24
169,24,17,169,24
170,24,17,170,24
171,24,17,171,24
172,24,17,172,24
173,24,17,173,24
174,24,17,174,24
175,24,17,175,24
176,24,17,176,24
177,24,17,177,24
178,24,17,178,24
179,24,17,179,24
180,24,17,180,24
181,24,17,181,24
182,24,17,182,24
183,24,17,183,24
184,24,17,184,24
185,24,17,185,24
186,24,17,186,24
187,24,17,187,24
188,24,17,188,24
189,24,17,189,24
189,24,18,189,24
190,24,18,190,24
191,24,18,191,24
192,24,18,192,24
193,24,18,193,24
194,24,18,194,24
195,24,18,195,24
196,24,18,196,24
197,24,18,197,24
198,24,18,198,24
199,24,18,199,24
200,24,18,200,24
201,24,18,201,24
202,24,18,202,24
203,24,18,203,24
204,24,18,204,24
205,24,18,205,24
206,24,18,206,24
207,24,18,207,24
208,24,18,208,24
209,24,18,209,24
210,24,18,210,24
211,24,18,211,24
212,24,18,212,24
213,24,18,213,24
214,24,18,214,24
215,24,18,215,24
216,24,18,216,24
217,24,18,217,24
218,24,18,218,24
219,24,18,219,24
219,24,19,219,24
220,24,19,220,24
220,24,20,220,24
221,24,20,221,24
222,24,20,222,24
223,24,20,223,24
224,24,20,224,24
225,24,20,225,24
226,24,20,226,24
227,24,20,227,24
228,24,20,228,24
229,24,20,229,24
230,24,20,230,24
231,24,20,231,24
232,24,20,232,24
233,24,20,233,24
234,24,20,234,24
235,24,20,235,24
236,24,20,236,24
237,24,20,237,24
238,24,20,238,24
239,24,20,239,24
240,24,20,240,24
241,24,20,241,24
242,24,20,242,24
243,24,20,243,24
244,24,20,244,24
245,24,20,245,24
246,24,20,246,24
247,24,20,247,24
248,24,20,248,24
249,24,20,249,24
250,24,20,250,24
251,24,20,251,24
252,24,20,252,24
252,25,20,252,25
253,25,20,253,25
254,25,20,254,25
255,25,20,255,25
256,25,20,256,25
257,25,20,257,25
258,25,20,258,25
259,25,20,259,25
260,25,20,260,25
261,25,20,261,25
262,25,20,262,25
263,25,20,263,25
264,25,20,264,25
265,25,20,265,25
266,25,20,266,25
267,25,20,267,25
268,25,20,268,25
269,25,20,269,25
270,25,20,270,25
271,25,20,271,25
272,25,20,272,25
273,25,20,273,25
274,25,20,274,25
274,25,21,274,25
275,25,21,275,25
276,25,21,276,25
277,25,21,277,25
278,25,21,278,25
279,25,21,279,25
280,25,21,280,25
281,25,21,281,25
282,25,21,282,25
283,25,21,283,25
284,25,21,284,25
285,25,21,285,25
286,25,21,286,25
287,25,21,287,25
288,25,21,288,25
289,25,21,289,25
290,25,21,290,25
291,25,21,291,25
292,25,21,292,25
293,25,21,293,25
294,25,21,294,25
295,25,21,295,25
296,25,21,296,25
297,25,21,297,25
298,25,21,298,25
299,25,21,299,25
300,25,21,300,25
301,25,21,301,25
302,25,21,302,25
303,25,21,303,25
304,25,21,304,25
305,25,21,305,25
306,25,21,306,25
307,25,21,307,25
308,25,21,308,25
309,25,21,309,25
310,25,21,310,25
311,25,21,311,25
312,25,21,312,25
313,25,21,313,25
314,25,21,314,25
315,25,21,315,25
316,25,21,316,25
317,25,21,317,25
318,25,21,318,25
319,25,21,319,25
320,25,21,320,25
320,25,22,320,25
321,25,22,321,25
322,25,22,322,25
323,25,22,323,25
324,25,22,324,25
325,25,22,325,25
326,25,22,326,25
327,25,22,327,25
328,25,22,328,25
329,25,22,329,25
330,25,22,330,25
331,25,22,331,25
332,25,22,332,25
333,25,22,333,25
334,25,22,334,25
335,25,22,335,25
336,25,22,336,25
337,25,22,337,25
338,25,22,338,25
339,25,22,339,25
340,25,22,340,25
341,25,22,341,25
342,25,22,342,25
343,25,22,343,25
344,25,22,344,25
345,25,22,345,25
346,25,22,346,25
347,25,22,347,25
348,25,22,348,25
348,26,22,348,26
349,26,22,349,26
350,26,22,350,26
351,26,22,351,26
352,26,22,352,26
353,26,22,353,26
354,26,22,354,26
355,26,22,355,26
356,26,22,356,26
356,27,22,356,27
357,27,22,357,27
358,27,22,358,27
359,27,22,359,27
360,27,22,360,27
361,27,22,361,27
362,27,22,362,27
363,27,22,363,27
364,27,22,364,27
364,27,23,364,27
365,27,23,365,27
366,27,23,366,27
367,27,23,367,27
368,27,23,368,27
369,27,23,369,27
370,27,23,370,27
371,27,23,371,27
372,27,23,372,27
373,27,23,373,27
374,27,23,374,27
