n-votes,n-comments,n-visitors,n-voters,n-commenters
0,0,1,0,0
0,1,1,0,1
0,2,1,0,2
0,3,1,0,3
0,4,1,0,4
0,5,1,0,5
0,6,1,0,6
0,7,1,0,7
0,8,1,0,8
0,9,1,0,9
0,10,1,0,10
0,11,1,0,11
0,12,1,0,12
0,13,1,0,13
0,14,1,0,14
0,15,1,0,15
0,16,1,0,16
0,17,1,0,17
0,18,1,0,18
0,19,1,0,19
0,20,1,0,20
0,21,1,0,21
0,22,1,0,22
0,23,1,0,23
0,24,1,0,24
0,25,1,0,25
0,26,1,0,26
0,27,1,0,27
0,28,1,0,28
0,29,1,0,29
0,30,1,0,30
0,31,1,0,31
0,32,1,0,32
0,33,1,0,33
0,34,1,0,34
0,35,1,0,35
0,36,1,0,36
0,37,1,0,37
0,38,1,0,38
0,39,1,0,39
0,40,1,0,40
0,41,1,0,41
0,42,1,0,42
0,43,1,0,43
0,44,1,0,44
0,45,1,0,45
0,46,1,0,46
0,47,1,0,47
0,48,1,0,48
0,49,1,0,49
0,50,1,0,50
0,51,1,0,51
0,52,1,0,52
0,52,2,0,52
1,52,2,1,52
2,52,2,2,52
3,52,2,3,52
4,52,2,4,52
5,52,2,5,52
6,52,2,6,52
7,52,2,7,52
8,52,2,8,52
9,52,2,9,52
10,52,2,10,52
11,52,2,11,52
12,52,2,12,52
13,52,2,13,52
14,52,2,14,52
15,52,2,15,52
16,52,2,16,52
17,52,2,17,52
18,52,2,18,52
19,52,2,19,52
20,52,2,20,52
21,52,2,21,52
22,52,2,22,52
23,52,2,23,52
24,52,2,24,52
25,52,2,25,52
26,52,2,26,52
27,52,2,27,52
28,52,2,28,52
29,52,2,29,52
30,52,2,30,52
31,52,2,31,52
32,52,2,32,52
33,52,2,33,52
34,52,2,34,52
35,52,2,35,52
36,52,2,36,52
37,52,2,37,52
38,52,2,38,52
39,52,2,39,52
40,52,2,40,52
41,52,2,41,52
42,52,2,42,52
43,52,2,43,52
44,52,2,44,52
45,52,2,45,52
46,52,2,46,52
47,52,2,47,52
48,52,2,48,52
49,52,2,49,52
50,52,2,50,52
50,52,3,50,52
51,52,3,51,52
52,52,3,52,52
53,52,3,53,52
54,52,3,54,52
55,52,3,55,52
56,52,3,56,52
57,52,3,57,52
58,52,3,58,52
59,52,3,59,52
60,52,3,60,52
61,52,3,61,52
62,52,3,62,52
63,52,3,63,52
64,52,3,64,52
65,52,3,65,52
66,52,3,66,52
67,52,3,67,52
68,52,3,68,52
69,52,3,69,52
70,52,3,70,52
71,52,3,71,52
72,52,3,72,52
73,52,3,73,52
74,52,3,74,52
75,52,3,75,52
76,52,3,76,52
77,52,3,77,52
78,52,3,78,52
79,52,3,79,52
80,52,3,80,52
81,52,3,81,52
82,52,3,82,52
83,52,3,83,52
84,52,3,84,52
85,52,3,85,52
86,52,3,86,52
87,52,3,87,52
88,52,3,88,52
89,52,3,89,52
90,52,3,90,52
91,52,3,91,52
92,52,3,92,52
93,52,3,93,52
94,52,3,94,52
95,52,3,95,52
96,52,3,96,52
97,52,3,97,52
98,52,3,98,52
99,52,3,99,52
100,52,3,100,52
100,52,4,100,52
101,52,4,101,52
102,52,4,102,52
103,52,4,103,52
104,52,4,104,52
105,52,4,105,52
106,52,4,106,52
107,52,4,107,52
108,52,4,108,52
109,52,4,109,52
110,52,4,110,52
111,52,4,111,52
112,52,4,112,52
113,52,4,113,52
114,52,4,114,52
115,52,4,115,52
116,52,4,116,52
117,52,4,117,52
118,52,4,118,52
119,52,4,119,52
120,52,4,120,52
121,52,4,121,52
122,52,4,122,52
123,52,4,123,52
124,52,4,124,52
125,52,4,125,52
126,52,4,126,52
127,52,4,127,52
128,52,4,128,52
129,52,4,129,52
130,52,4,130,52
131,52,4,131,52
132,52,4,132,52
133,52,4,133,52
134,52,4,134,52
135,52,4,135,52
136,52,4,136,52
137,52,4,137,52
138,52,4,138,52
139,52,4,139,52
140,52,4,140,52
141,52,4,141,52
142,52,4,142,52
143,52,4,143,52
144,52,4,144,52
145,52,4,145,52
146,52,4,146,52
147,52,4,147,52
148,52,4,148,52
149,52,4,149,52
150,52,4,150,52
150,52,5,150,52
151,52,5,151,52
152,52,5,152,52
153,52,5,153,52
154,52,5,154,52
155,52,5,155,52
156,52,5,156,52
157,52,5,157,52
158,52,5,158,52
159,52,5,159,52
160,52,5,160,52
160,52,6,160,52
161,52,6,161,52
162,52,6,162,52
163,52,6,163,52
164,52,6,164,52
165,52,6,165,52
166,52,6,166,52
167,52,6,167,52
168,52,6,168,52
169,52,6,169,52
170,52,6,170,52
171,52,6,171,52
172,52,6,172,52
173,52,6,173,52
174,52,6,174,52
175,52,6,175,52
176,52,6,176,52
177,52,6,177,52
178,52,6,178,52
179,52,6,179,52
180,52,6,180,52
181,52,6,181,52
182,52,6,182,52
183,52,6,183,52
184,52,6,184,52
185,52,6,185,52
186,52,6,186,52
187,52,6,187,52
188,52,6,188,52
189,52,6,189,52
190,52,6,190,52
191,52,6,191,52
192,52,6,192,52
193,52,6,193,52
194,52,6,194,52
195,52,6,195,52
196,52,6,196,52
197,52,6,197,52
198,52,6,198,52
199,52,6,199,52
200,52,6,200,52
201,52,6,201,52
202,52,6,202,52
203,52,6,203,52
204,52,6,204,52
205,52,6,205,52
206,52,6,206,52
207,52,6,207,52
208,52,6,208,52
209,52,6,209,52
210,52,6,210,52
211,52,6,211,52
212,52,6,212,52
213,52,6,213,52
214,52,6,214,52
215,52,6,215,52
216,52,6,216,52
217,52,6,217,52
218,52,6,218,52
219,52,6,219,52
220,52,6,220,52
221,52,6,221,52
222,52,6,222,52
223,52,6,223,52
224,52,6,224,52
225,52,6,225,52
226,52,6,226,52
227,52,6,227,52
228,52,6,228,52
229,52,6,229,52
230,52,6,230,52
231,52,6,231,52
232,52,6,232,52
233,52,6,233,52
234,52,6,234,52
235,52,6,235,52
236,52,6,236,52
237,52,6,237,52
238,52,6,238,52
239,52,6,239,52
240,52,6,240,52
241,52,6,241,52
242,52,6,242,52
243,52,6,243,52
244,52,6,244,52
245,52,6,245,52
246,52,6,246,52
247,52,6,247,52
248,52,6,248,52
249,52,6,249,52
250,52,6,250,52
250,53,6,250,53
251,53,6,251,53
251,54,6,251,54
251,55,6,251,55
251,55,7,251,55
252,55,7,252,55
253,55,7,253,55
254,55,7,254,55
255,55,7,255,55
256,55,7,256,55
257,55,7,257,55
258,55,7,258,55
259,55,7,259,55
260,55,7,260,55
261,55,7,261,55
262,55,7,262,55
263,55,7,263,55
264,55,7,264,55
265,55,7,265,55
266,55,7,266,55
267,55,7,267,55
268,55,7,268,55
269,55,7,269,55
270,55,7,270,55
271,55,7,271,55
272,55,7,272,55
273,55,7,273,55
274,55,7,274,55
275,55,7,275,55
276,55,7,276,55
277,55,7,277,55
278,55,7,278,55
279,55,7,279,55
280,55,7,280,55
281,55,7,281,55
282,55,7,282,55
283,55,7,283,55
284,55,7,284,55
285,55,7,285,55
286,55,7,286,55
287,55,7,287,55
288,55,7,288,55
289,55,7,289,55
290,55,7,290,55
291,55,7,291,55
292,55,7,292,55
293,55,7,293,55
294,55,7,294,55
295,55,7,295,55
296,55,7,296,55
297,55,7,297,55
298,55,7,298,55
299,55,7,299,55
300,55,7,300,55
301,55,7,301,55
302,55,7,302,55
303,55,7,303,55
304,55,7,304,55
305,55,7,305,55
306,55,7,306,55
307,55,7,307,55
307,55,8,307,55
308,55,8,308,55
309,55,8,309,55
310,55,8,310,55
310,55,9,310,55
311,55,9,311,55
312,55,9,312,55
313,55,9,313,55
314,55,9,314,55
315,55,9,315,55
316,55,9,316,55
317,55,9,317,55
318,55,9,318,55
319,55,9,319,55
320,55,9,320,55
321,55,9,321,55
322,55,9,322,55
323,55,9,323,55
324,55,9,324,55
325,55,9,325,55
326,55,9,326,55
327,55,9,327,55
328,55,9,328,55
329,55,9,329,55
330,55,9,330,55
331,55,9,331,55
332,55,9,332,55
333,55,9,333,55
334,55,9,334,55
335,55,9,335,55
336,55,9,336,55
337,55,9,337,55
338,55,9,338,55
339,55,9,339,55
340,55,9,340,55
341,55,9,341,55
342,55,9,342,55
343,55,9,343,55
344,55,9,344,55
345,55,9,345,55
346,55,9,346,55
347,55,9,347,55
348,55,9,348,55
349,55,9,349,55
350,55,9,350,55
351,55,9,351,55
352,55,9,352,55
353,55,9,353,55
354,55,9,354,55
355,55,9,355,55
356,55,9,356,55
357,55,9,357,55
358,55,9,358,55
359,55,9,359,55
360,55,9,360,55
