participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1,31,50,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,-1,-1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,18,8,9,-1,1,1,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,0,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,0,18,10,6,-1,1,0,-1,0,-1,-1,1,-1,1,-1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,0,18,8,10,-1,1,1,-1,1,-1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,0,18,10,6,-1,1,-1,-1,0,-1,1,-1,1,1,1,-1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,0,3,1,2,-1,,,,,-1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,0,18,10,8,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,19,10,6,-1,1,0,-1,-1,-1,1,-1,0,0,-1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,18,6,7,-1,1,-1,-1,0,-1,0,0,0,0,-1,1,-1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,0,18,8,9,-1,1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,0,18,7,6,-1,1,0,-1,1,-1,-1,1,0,0,0,0,-1,1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,0,18,10,8,-1,1,1,-1,-1,-1,-1,-1,1,1,-1,1,-1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0,0,30,13,15,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,-1,1,1,1,1,1,1,1,-1,0,1,-1,-1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
14,0,0,18,11,5,-1,1,-1,-1,-1,1,1,-1,1,1,0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0,0,9,5,4,-1,1,-1,,,,1,-1,1,1,,1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0,0,18,10,8,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,18,9,6,-1,1,-1,-1,0,-1,0,-1,1,0,-1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,0,23,15,7,-1,1,1,-1,1,-1,0,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,0,18,8,9,-1,1,0,-1,1,-1,-1,1,-1,1,1,-1,-1,-1,1,-1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,0,18,7,6,-1,1,1,-1,1,-1,-1,1,-1,0,0,0,-1,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,0,18,11,7,-1,1,1,1,1,-1,1,1,-1,-1,1,-1,-1,-1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,18,11,7,-1,1,-1,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0,0,18,9,6,-1,1,-1,-1,-1,0,1,-1,1,0,-1,1,1,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0,0,18,10,8,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,0,15,6,7,-1,1,1,-1,-1,,,1,,0,-1,1,-1,0,1,-1,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
