n-votes,n-comments,n-visitors,n-voters,n-commenters
0,0,1,0,0
0,0,2,0,0
0,0,3,0,0
0,0,4,0,0
0,0,5,0,0
0,0,6,0,0
0,0,7,0,0
0,0,8,0,0
0,0,9,0,0
0,0,10,0,0
0,0,11,0,0
0,0,12,0,0
0,0,13,0,0
0,0,14,0,0
0,0,15,0,0
0,0,16,0,0
0,1,16,0,1
0,2,16,0,2
0,3,16,0,3
0,4,16,0,4
0,5,16,0,5
0,6,16,0,6
0,7,16,0,7
0,8,16,0,8
0,9,16,0,9
0,10,16,0,10
0,11,16,0,11
0,12,16,0,12
0,13,16,0,13
0,14,16,0,14
0,15,16,0,15
0,16,16,0,16
0,17,16,0,17
0,18,16,0,18
0,19,16,0,19
0,20,16,0,20
0,21,16,0,21
0,22,16,0,22
0,23,16,0,23
0,24,16,0,24
0,25,16,0,25
0,26,16,0,26
0,27,16,0,27
0,28,16,0,28
0,28,17,0,28
0,28,18,0,28
1,28,18,1,28
2,28,18,2,28
3,28,18,3,28
4,28,18,4,28
5,28,18,5,28
6,28,18,6,28
7,28,18,7,28
8,28,18,8,28
9,28,18,9,28
10,28,18,10,28
11,28,18,11,28
12,28,18,12,28
13,28,18,13,28
14,28,18,14,28
15,28,18,15,28
16,28,18,16,28
17,28,18,17,28
18,28,18,18,28
19,28,18,19,28
20,28,18,20,28
21,28,18,21,28
22,28,18,22,28
23,28,18,23,28
24,28,18,24,28
25,28,18,25,28
26,28,18,26,28
27,28,18,27,28
28,28,18,28,28
29,28,18,29,28
30,28,18,30,28
31,28,18,31,28
32,28,18,32,28
33,28,18,33,28
34,28,18,34,28
35,28,18,35,28
36,28,18,36,28
37,28,18,37,28
38,28,18,38,28
39,28,18,39,28
40,28,18,40,28
41,28,18,41,28
42,28,18,42,28
43,28,18,43,28
44,28,18,44,28
45,28,18,45,28
46,28,18,46,28
47,28,18,47,28
48,28,18,48,28
49,28,18,49,28
50,28,18,50,28
51,28,18,51,28
52,28,18,52,28
53,28,18,53,28
54,28,18,54,28
55,28,18,55,28
56,28,18,56,28
56,28,19,56,28
57,28,19,57,28
58,28,19,58,28
59,28,19,59,28
60,28,19,60,28
61,28,19,61,28
62,28,19,62,28
63,28,19,63,28
64,28,19,64,28
65,28,19,65,28
66,28,19,66,28
67,28,19,67,28
68,28,19,68,28
69,28,19,69,28
70,28,19,70,28
71,28,19,71,28
72,28,19,72,28
73,28,19,73,28
74,28,19,74,28
75,28,19,75,28
76,28,19,76,28
77,28,19,77,28
78,28,19,78,28
78,28,20,78,28
78,28,21,78,28
78,28,22,78,28
79,28,22,79,28
80,28,22,80,28
81,28,22,81,28
81,28,23,81,28
82,28,23,82,28
83,28,23,83,28
84,28,23,84,28
85,28,23,85,28
86,28,23,86,28
87,28,23,87,28
88,28,23,88,28
89,28,23,89,28
90,28,23,90,28
91,28,23,91,28
91,28,24,91,28
92,28,24,92,28
93,28,24,93,28
93,28,25,93,28
93,28,26,93,28
93,28,27,93,28
93,28,28,93,28
94,28,28,94,28
95,28,28,95,28
96,28,28,96,28
97,28,28,97,28
98,28,28,98,28
99,28,28,99,28
100,28,28,100,28
101,28,28,101,28
101,28,29,101,28
101,28,30,101,28
101,28,31,101,28
101,28,32,101,28
101,28,33,101,28
101,28,34,101,28
102,28,34,102,28
103,28,34,103,28
104,28,34,104,28
105,28,34,105,28
105,28,35,105,28
105,28,36,105,28
105,28,37,105,28
105,28,38,105,28
105,28,39,105,28
105,28,40,105,28
105,28,41,105,28
105,28,42,105,28
105,28,43,105,28
105,28,44,105,28
105,28,45,105,28
105,28,46,105,28
105,28,47,105,28
105,28,48,105,28
105,28,49,105,28
105,28,50,105,28
105,28,51,105,28
105,28,52,105,28
105,28,53,105,28
105,28,54,105,28
106,28,54,106,28
107,28,54,107,28
108,28,54,108,28
109,28,54,109,28
110,28,54,110,28
111,28,54,111,28
112,28,54,112,28
113,28,54,113,28
114,28,54,114,28
115,28,54,115,28
116,28,54,116,28
117,28,54,117,28
118,28,54,118,28
