n-votes,n-comments,n-visitors,n-voters,n-commenters
0,0,1,0,0
0,1,1,0,1
0,2,1,0,2
0,3,1,0,3
0,4,1,0,4
0,5,1,0,5
0,6,1,0,6
0,7,1,0,7
0,8,1,0,8
0,9,1,0,9
0,10,1,0,10
0,11,1,0,11
0,12,1,0,12
0,13,1,0,13
0,14,1,0,14
0,15,1,0,15
0,15,2,0,15
1,15,2,1,15
2,15,2,2,15
3,15,2,3,15
4,15,2,4,15
5,15,2,5,15
6,15,2,6,15
7,15,2,7,15
8,15,2,8,15
9,15,2,9,15
10,15,2,10,15
11,15,2,11,15
12,15,2,12,15
12,15,3,12,15
13,15,3,13,15
14,15,3,14,15
14,15,4,14,15
15,15,4,15,15
16,15,4,16,15
17,15,4,17,15
18,15,4,18,15
19,15,4,19,15
20,15,4,20,15
21,15,4,21,15
22,15,4,22,15
23,15,4,23,15
24,15,4,24,15
25,15,4,25,15
26,15,4,26,15
27,15,4,27,15
27,15,5,27,15
28,15,5,28,15
29,15,5,29,15
30,15,5,30,15
30,15,6,30,15
31,15,6,31,15
32,15,6,32,15
33,15,6,33,15
34,15,6,34,15
35,15,6,35,15
36,15,6,36,15
37,15,6,37,15
38,15,6,38,15
39,15,6,39,15
40,15,6,40,15
41,15,6,41,15
42,15,6,42,15
43,15,6,43,15
44,15,6,44,15
45,15,6,45,15
46,15,6,46,15
47,15,6,47,15
48,15,6,48,15
49,15,6,49,15
50,15,6,50,15
51,15,6,51,15
51,15,7,51,15
52,15,7,52,15
53,15,7,53,15
54,15,7,54,15
55,15,7,55,15
56,15,7,56,15
57,15,7,57,15
58,15,7,58,15
59,15,7,59,15
59,15,8,59,15
60,15,8,60,15
61,15,8,61,15
62,15,8,62,15
62,15,9,62,15
63,15,9,63,15
64,15,9,64,15
64,15,10,64,15
65,15,10,65,15
66,15,10,66,15
67,15,10,67,15
68,15,10,68,15
69,15,10,69,15
70,15,10,70,15
71,15,10,71,15
72,15,10,72,15
73,15,10,73,15
74,15,10,74,15
75,15,10,75,15
76,15,10,76,15
77,15,10,77,15
78,15,10,78,15
79,15,10,79,15
80,15,10,80,15
81,15,10,81,15
82,15,10,82,15
83,15,10,83,15
84,15,10,84,15
85,15,10,85,15
86,15,10,86,15
87,15,10,87,15
88,15,10,88,15
89,15,10,89,15
90,15,10,90,15
91,15,10,91,15
92,15,10,92,15
93,15,10,93,15
93,15,11,93,15
94,15,11,94,15
95,15,11,95,15
96,15,11,96,15
97,15,11,97,15
98,15,11,98,15
99,15,11,99,15
100,15,11,100,15
101,15,11,101,15
102,15,11,102,15
103,15,11,103,15
104,15,11,104,15
105,15,11,105,15
105,15,12,105,15
106,15,12,106,15
107,15,12,107,15
108,15,12,108,15
109,15,12,109,15
110,15,12,110,15
111,15,12,111,15
112,15,12,112,15
113,15,12,113,15
114,15,12,114,15
115,15,12,115,15
116,15,12,116,15
116,15,13,116,15
117,15,13,117,15
118,15,13,118,15
119,15,13,119,15
120,15,13,120,15
120,16,13,120,16
121,16,13,121,16
122,16,13,122,16
123,16,13,123,16
124,16,13,124,16
125,16,13,125,16
126,16,13,126,16
127,16,13,127,16
128,16,13,128,16
129,16,13,129,16
130,16,13,130,16
131,16,13,131,16
132,16,13,132,16
132,16,14,132,16
132,17,14,132,17
133,17,14,133,17
134,17,14,134,17
135,17,14,135,17
136,17,14,136,17
136,17,15,136,17
137,17,15,137,17
137,18,15,137,18
138,18,15,138,18
138,18,16,138,18
139,18,16,139,18
140,18,16,140,18
141,18,16,141,18
142,18,16,142,18
143,18,16,143,18
144,18,16,144,18
145,18,16,145,18
146,18,16,146,18
147,18,16,147,18
148,18,16,148,18
149,18,16,149,18
150,18,16,150,18
151,18,16,151,18
152,18,16,152,18
152,18,17,152,18
153,18,17,153,18
154,18,17,154,18
155,18,17,155,18
156,18,17,156,18
157,18,17,157,18
158,18,17,158,18
159,18,17,159,18
160,18,17,160,18
160,19,17,160,19
161,19,17,161,19
162,19,17,162,19
163,19,17,163,19
164,19,17,164,19
165,19,17,165,19
166,19,17,166,19
167,19,17,167,19
167,20,17,167,20
168,20,17,168,20
169,20,17,169,20
169,21,17,169,21
170,21,17,170,21
171,21,17,171,21
172,21,17,172,21
173,21,17,173,21
174,21,17,174,21
175,21,17,175,21
176,21,17,176,21
177,21,17,177,21
178,21,17,178,21
179,21,17,179,21
179,22,17,179,22
180,22,17,180,22
181,22,17,181,22
182,22,17,182,22
183,22,17,183,22
183,23,17,183,23
184,23,17,184,23
185,23,17,185,23
186,23,17,186,23
187,23,17,187,23
188,23,17,188,23
189,23,17,189,23
190,23,17,190,23
191,23,17,191,23
192,23,17,192,23
193,23,17,193,23
194,23,17,194,23
195,23,17,195,23
196,23,17,196,23
197,23,17,197,23
198,23,17,198,23
199,23,17,199,23
199,23,18,199,23
199,24,18,199,24
200,24,18,200,24
201,24,18,201,24
202,24,18,202,24
203,24,18,203,24
204,24,18,204,24
205,24,18,205,24
206,24,18,206,24
207,24,18,207,24
208,24,18,208,24
209,24,18,209,24
210,24,18,210,24
211,24,18,211,24
212,24,18,212,24
213,24,18,213,24
214,24,18,214,24
215,24,18,215,24
216,24,18,216,24
217,24,18,217,24
218,24,18,218,24
219,24,18,219,24
220,24,18,220,24
221,24,18,221,24
222,24,18,222,24
223,24,18,223,24
224,24,18,224,24
225,24,18,225,24
226,24,18,226,24
227,24,18,227,24
228,24,18,228,24
229,24,18,229,24
230,24,18,230,24
231,24,18,231,24
232,24,18,232,24
233,24,18,233,24
234,24,18,234,24
235,24,18,235,24
236,24,18,236,24
237,24,18,237,24
238,24,18,238,24
239,24,18,239,24
239,24,19,239,24
240,24,19,240,24
241,24,19,241,24
242,24,19,242,24
243,24,19,243,24
244,24,19,244,24
245,24,19,245,24
246,24,19,246,24
247,24,19,247,24
248,24,19,248,24
249,24,19,249,24
250,24,19,250,24
251,24,19,251,24
252,24,19,252,24
253,24,19,253,24
254,24,19,254,24
254,24,20,254,24
255,24,20,255,24
256,24,20,256,24
257,24,20,257,24
258,24,20,258,24
259,24,20,259,24
260,24,20,260,24
261,24,20,261,24
262,24,20,262,24
263,24,20,263,24
264,24,20,264,24
265,24,20,265,24
266,24,20,266,24
267,24,20,267,24
268,24,20,268,24
269,24,20,269,24
270,24,20,270,24
271,24,20,271,24
272,24,20,272,24
273,24,20,273,24
274,24,20,274,24
275,24,20,275,24
276,24,20,276,24
277,24,20,277,24
278,24,20,278,24
279,24,20,279,24
280,24,20,280,24
281,24,20,281,24
282,24,20,282,24
283,24,20,283,24
284,24,20,284,24
285,24,20,285,24
286,24,20,286,24
287,24,20,287,24
288,24,20,288,24
289,24,20,289,24
290,24,20,290,24
291,24,20,291,24
292,24,20,292,24
293,24,20,293,24
294,24,20,294,24
295,24,20,295,24
296,24,20,296,24
297,24,20,297,24
298,24,20,298,24
299,24,20,299,24
300,24,20,300,24
301,24,20,301,24
301,24,21,301,24
302,24,21,302,24
303,24,21,303,24
304,24,21,304,24
304,25,21,304,25
305,25,21,305,25
306,25,21,306,25
307,25,21,307,25
308,25,21,308,25
309,25,21,309,25
310,25,21,310,25
311,25,21,311,25
312,25,21,312,25
313,25,21,313,25
314,25,21,314,25
315,25,21,315,25
315,25,22,315,25
316,25,22,316,25
317,25,22,317,25
318,25,22,318,25
319,25,22,319,25
320,25,22,320,25
321,25,22,321,25
322,25,22,322,25
323,25,22,323,25
324,25,22,324,25
325,25,22,325,25
326,25,22,326,25
327,25,22,327,25
328,25,22,328,25
329,25,22,329,25
330,25,22,330,25
331,25,22,331,25
332,25,22,332,25
333,25,22,333,25
334,25,22,334,25
335,25,22,335,25
336,25,22,336,25
337,25,22,337,25
338,25,22,338,25
339,25,22,339,25
340,25,22,340,25
341,25,22,341,25
342,25,22,342,25
343,25,22,343,25
344,25,22,344,25
345,25,22,345,25
346,25,22,346,25
347,25,22,347,25
348,25,22,348,25
349,25,22,349,25
350,25,22,350,25
351,25,22,351,25
352,25,22,352,25
353,25,22,353,25
354,25,22,354,25
355,25,22,355,25
356,25,22,356,25
357,25,22,357,25
358,25,22,358,25
359,25,22,359,25
360,25,22,360,25
361,25,22,361,25
362,25,22,362,25
363,25,22,363,25
364,25,22,364,25
365,25,22,365,25
366,25,22,366,25
367,25,22,367,25
368,25,22,368,25
369,25,22,369,25
369,26,22,369,26
370,26,22,370,26
371,26,22,371,26
372,26,22,372,26
373,26,22,373,26
374,26,22,374,26
375,26,22,375,26
376,26,22,376,26
