n-votes,n-comments,n-visitors,n-voters,n-commenters
0,0,1,0,0
0,1,1,0,1
1,1,1,1,1
1,2,1,1,2
2,2,1,2,2
2,3,1,2,3
3,3,1,3,3
3,4,1,3,4
4,4,1,4,4
4,5,1,4,5
5,5,1,5,5
5,6,1,5,6
6,6,1,6,6
6,7,1,6,7
7,7,1,7,7
7,8,1,7,8
8,8,1,8,8
8,9,1,8,9
9,9,1,9,9
9,10,1,9,10
10,10,1,10,10
10,11,1,10,11
11,11,1,11,11
11,12,1,11,12
12,12,1,12,12
12,13,1,12,13
13,13,1,13,13
13,14,1,13,14
14,14,1,14,14
14,15,1,14,15
15,15,1,15,15
15,16,1,15,16
16,16,1,16,16
16,17,1,16,17
17,17,1,17,17
17,18,1,17,18
18,18,1,18,18
18,19,1,18,19
19,19,1,19,19
19,20,1,19,20
20,20,1,20,20
20,21,1,20,21
21,21,1,21,21
21,22,1,21,22
22,22,1,22,22
22,23,1,22,23
23,23,1,23,23
23,24,1,23,24
24,24,1,24,24
24,25,1,24,25
25,25,1,25,25
25,26,1,25,26
26,26,1,26,26
26,27,1,26,27
27,27,1,27,27
27,28,1,27,28
28,28,1,28,28
28,29,1,28,29
29,29,1,29,29
29,30,1,29,30
30,30,1,30,30
30,31,1,30,31
31,31,1,31,31
31,32,1,31,32
32,32,1,32,32
32,33,1,32,33
33,33,1,33,33
33,34,1,33,34
34,34,1,34,34
34,35,1,34,35
35,35,1,35,35
35,36,1,35,36
36,36,1,36,36
36,37,1,36,37
37,37,1,37,37
37,38,1,37,38
38,38,1,38,38
38,39,1,38,39
39,39,1,39,39
39,40,1,39,40
40,40,1,40,40
40,41,1,40,41
41,41,1,41,41
41,41,2,41,41
42,41,2,42,41
43,41,2,43,41
44,41,2,44,41
45,41,2,45,41
46,41,2,46,41
47,41,2,47,41
48,41,2,48,41
49,41,2,49,41
50,41,2,50,41
51,41,2,51,41
52,41,2,52,41
53,41,2,53,41
54,41,2,54,41
55,41,2,55,41
56,41,2,56,41
57,41,2,57,41
58,41,2,58,41
59,41,2,59,41
60,41,2,60,41
61,41,2,61,41
62,41,2,62,41
63,41,2,63,41
64,41,2,64,41
65,41,2,65,41
66,41,2,66,41
66,41,3,66,41
67,41,3,67,41
67,41,4,67,41
68,41,4,68,41
69,41,4,69,41
70,41,4,70,41
71,41,4,71,41
72,41,4,72,41
73,41,4,73,41
74,41,4,74,41
75,41,4,75,41
75,41,5,75,41
76,41,5,76,41
77,41,5,77,41
78,41,5,78,41
79,41,5,79,41
80,41,5,80,41
81,41,5,81,41
82,41,5,82,41
83,41,5,83,41
84,41,5,84,41
85,41,5,85,41
86,41,5,86,41
87,41,5,87,41
88,41,5,88,41
89,41,5,89,41
90,41,5,90,41
91,41,5,91,41
92,41,5,92,41
93,41,5,93,41
94,41,5,94,41
95,41,5,95,41
96,41,5,96,41
97,41,5,97,41
98,41,5,98,41
99,41,5,99,41
100,41,5,100,41
101,41,5,101,41
102,41,5,102,41
103,41,5,103,41
104,41,5,104,41
105,41,5,105,41
106,41,5,106,41
107,41,5,107,41
108,41,5,108,41
109,41,5,109,41
110,41,5,110,41
111,41,5,111,41
112,41,5,112,41
113,41,5,113,41
114,41,5,114,41
115,41,5,115,41
116,41,5,116,41
117,41,5,117,41
118,41,5,118,41
119,41,5,119,41
120,41,5,120,41
121,41,5,121,41
122,41,5,122,41
123,41,5,123,41
124,41,5,124,41
125,41,5,125,41
126,41,5,126,41
127,41,5,127,41
128,41,5,128,41
129,41,5,129,41
130,41,5,130,41
131,41,5,131,41
132,41,5,132,41
133,41,5,133,41
134,41,5,134,41
135,41,5,135,41
136,41,5,136,41
137,41,5,137,41
138,41,5,138,41
139,41,5,139,41
139,41,6,139,41
140,41,6,140,41
141,41,6,141,41
142,41,6,142,41
143,41,6,143,41
144,41,6,144,41
145,41,6,145,41
146,41,6,146,41
147,41,6,147,41
148,41,6,148,41
149,41,6,149,41
150,41,6,150,41
151,41,6,151,41
152,41,6,152,41
153,41,6,153,41
154,41,6,154,41
155,41,6,155,41
156,41,6,156,41
157,41,6,157,41
158,41,6,158,41
159,41,6,159,41
160,41,6,160,41
161,41,6,161,41
162,41,6,162,41
163,41,6,163,41
164,41,6,164,41
165,41,6,165,41
166,41,6,166,41
166,42,6,166,42
167,42,6,167,42
168,42,6,168,42
169,42,6,169,42
170,42,6,170,42
171,42,6,171,42
172,42,6,172,42
173,42,6,173,42
174,42,6,174,42
175,42,6,175,42
176,42,6,176,42
177,42,6,177,42
178,42,6,178,42
179,42,6,179,42
180,42,6,180,42
181,42,6,181,42
182,42,6,182,42
183,42,6,183,42
184,42,6,184,42
185,42,6,185,42
186,42,6,186,42
187,42,6,187,42
188,42,6,188,42
189,42,6,189,42
190,42,6,190,42
191,42,6,191,42
191,42,7,191,42
192,42,7,192,42
193,42,7,193,42
194,42,7,194,42
195,42,7,195,42
196,42,7,196,42
197,42,7,197,42
198,42,7,198,42
199,42,7,199,42
200,42,7,200,42
201,42,7,201,42
202,42,7,202,42
203,42,7,203,42
204,42,7,204,42
205,42,7,205,42
206,42,7,206,42
207,42,7,207,42
208,42,7,208,42
209,42,7,209,42
210,42,7,210,42
211,42,7,211,42
212,42,7,212,42
213,42,7,213,42
214,42,7,214,42
215,42,7,215,42
216,42,7,216,42
217,42,7,217,42
218,42,7,218,42
219,42,7,219,42
220,42,7,220,42
221,42,7,221,42
222,42,7,222,42
223,42,7,223,42
224,42,7,224,42
225,42,7,225,42
226,42,7,226,42
227,42,7,227,42
228,42,7,228,42
229,42,7,229,42
230,42,7,230,42
231,42,7,231,42
232,42,7,232,42
232,42,8,232,42
233,42,8,233,42
234,42,8,234,42
235,42,8,235,42
236,42,8,236,42
237,42,8,237,42
238,42,8,238,42
239,42,8,239,42
240,42,8,240,42
241,42,8,241,42
242,42,8,242,42
243,42,8,243,42
244,42,8,244,42
245,42,8,245,42
246,42,8,246,42
247,42,8,247,42
248,42,8,248,42
249,42,8,249,42
250,42,8,250,42
251,42,8,251,42
252,42,8,252,42
253,42,8,253,42
254,42,8,254,42
255,42,8,255,42
256,42,8,256,42
257,42,8,257,42
258,42,8,258,42
259,42,8,259,42
260,42,8,260,42
261,42,8,261,42
262,42,8,262,42
263,42,8,263,42
264,42,8,264,42
265,42,8,265,42
266,42,8,266,42
267,42,8,267,42
268,42,8,268,42
269,42,8,269,42
270,42,8,270,42
271,42,8,271,42
272,42,8,272,42
273,42,8,273,42
274,42,8,274,42
275,42,8,275,42
276,42,8,276,42
277,42,8,277,42
278,42,8,278,42
279,42,8,279,42
280,42,8,280,42
281,42,8,281,42
282,42,8,282,42
283,42,8,283,42
284,42,8,284,42
285,42,8,285,42
286,42,8,286,42
287,42,8,287,42
288,42,8,288,42
289,42,8,289,42
290,42,8,290,42
291,42,8,291,42
292,42,8,292,42
293,42,8,293,42
294,42,8,294,42
295,42,8,295,42
296,42,8,296,42
297,42,8,297,42
298,42,8,298,42
299,42,8,299,42
300,42,8,300,42
301,42,8,301,42
302,42,8,302,42
303,42,8,303,42
304,42,8,304,42
305,42,8,305,42
306,42,8,306,42
306,42,9,306,42
307,42,9,307,42
308,42,9,308,42
309,42,9,309,42
310,42,9,310,42
311,42,9,311,42
312,42,9,312,42
313,42,9,313,42
314,42,9,314,42
315,42,9,315,42
316,42,9,316,42
317,42,9,317,42
318,42,9,318,42
319,42,9,319,42
320,42,9,320,42
321,42,9,321,42
322,42,9,322,42
323,42,9,323,42
324,42,9,324,42
325,42,9,325,42
326,42,9,326,42
327,42,9,327,42
328,42,9,328,42
329,42,9,329,42
330,42,9,330,42
331,42,9,331,42
332,42,9,332,42
333,42,9,333,42
334,42,9,334,42
335,42,9,335,42
336,42,9,336,42
337,42,9,337,42
338,42,9,338,42
339,42,9,339,42
340,42,9,340,42
341,42,9,341,42
342,42,9,342,42
343,42,9,343,42
344,42,9,344,42
345,42,9,345,42
346,42,9,346,42
347,42,9,347,42
348,42,9,348,42
349,42,9,349,42
350,42,9,350,42
351,42,9,351,42
352,42,9,352,42
353,42,9,353,42
354,42,9,354,42
354,42,10,354,42
355,42,10,355,42
356,42,10,356,42
357,42,10,357,42
358,42,10,358,42
359,42,10,359,42
360,42,10,360,42
361,42,10,361,42
362,42,10,362,42
363,42,10,363,42
364,42,10,364,42
365,42,10,365,42
366,42,10,366,42
367,42,10,367,42
368,42,10,368,42
369,42,10,369,42
370,42,10,370,42
371,42,10,371,42
372,42,10,372,42
