timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment-body
1568101622999,Tue Sep 10 00:47:02 PDT 2019,298,427,1,0,-1,"The youth need to be hugely involved in this - it is their future we are deciding here, their voices deserve to be heard and acted on."
1568105290232,Tue Sep 10 01:48:10 PDT 2019,306,427,1,0,-1,"Dogs should be kept on the leash at all times on/near wildlife hotspot beaches to prevent injuring wildlife, and this needs to be enforced."
1568064556741,Mon Sep 09 14:29:16 PDT 2019,296,438,25,4,1,"Biodiversity needs to be defined in a way that suits Aotearoa, all of us, not a metro view, or pakeha view or rural.  We cant reverse time."
1568175357317,Tue Sep 10 21:15:57 PDT 2019,315,456,43,1,1,We should recognise and value our indigenous ecosystems for their contribution to global biodiversity. We've lost so much already
1568168310138,Tue Sep 10 19:18:30 PDT 2019,314,450,1,0,-1,Biodiversity consultation needs to include experts from a variety of contexts in which experience and expertise has been gained.
1568164306769,Tue Sep 10 18:11:46 PDT 2019,313,446,1,0,-1,The roles and responsibilities of various agencies needs to be clearer so public understand who is responsible for what
1568164233422,Tue Sep 10 18:10:33 PDT 2019,312,446,40,2,1,"Community conservation groups be better supported through more funding, better access to information and minimising paperwork"
1568105717677,Tue Sep 10 01:55:17 PDT 2019,311,427,29,6,1,"Tourists should be charged slightly more for seeing e.g. a kiwi, than a NZ citizen, and that extra money should go towards conservation."
1568105604000,Tue Sep 10 01:53:24 PDT 2019,310,427,1,0,-1,"We need to act now, before it's too late, and future generations miss out on our wonderful nature."
1568105544544,Tue Sep 10 01:52:24 PDT 2019,309,427,1,0,-1,We have taken so much from this land already. It's time to give back.
1568105497450,Tue Sep 10 01:51:37 PDT 2019,308,427,34,4,1,"We don't deserve to call ourselves Kiwis if we won't make reasonable efforts to save the Kiwi, and our other precious native species."
1568105364332,Tue Sep 10 01:49:24 PDT 2019,307,427,1,0,-1,New Zealanders don't see or interact enough with their native species so don't have a big enough drive to want to save them.
1568105208399,Tue Sep 10 01:46:48 PDT 2019,305,427,39,5,1,We need a plan to deal with cats in New Zealand.
1568105163663,Tue Sep 10 01:46:03 PDT 2019,304,427,46,1,1,"Everyone can make a difference, even if it's something small like a backyard native bird feeder or a small donation to a conservation group."
1568105100367,Tue Sep 10 01:45:00 PDT 2019,303,427,1,0,-1,"More exposure to our unique endangered birdlife, like Sirocco the Kakapo, will help to raise awareness about why we need to save our species"
1568105038896,Tue Sep 10 01:43:58 PDT 2019,302,427,1,0,-1,More and larger predator-free ecosanctuaries on the mainland are a step in the right direction.
1568104960806,Tue Sep 10 01:42:40 PDT 2019,301,427,36,3,1,More public knowledge about the science behind 1080 and the work DoC do is needed for conservation efforts to move forwards.
1568104871193,Tue Sep 10 01:41:11 PDT 2019,300,427,1,0,-1,There needs to be more education about conservation and its importance in schools.
1568104709361,Tue Sep 10 01:38:29 PDT 2019,299,427,10,9,1,Muttonbirding should no longer be allowed. We need to move on from the past and look towards the future of all species.
1568082617646,Mon Sep 09 19:30:17 PDT 2019,297,441,13,8,1,There should be a scheme for the trapping or shooting of wild / feral rabbits and the sale of their meat.  Far better than poisoning...
1568025322105,Mon Sep 09 03:35:22 PDT 2019,295,434,33,1,1,"Iwi & small-scale land owners could use low productivity/erodible land for long-rotation totara and rimu plantations.= Habitat,fruit,timber."
