timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment-body
1501088623370,Wed Jul 26 10:03:43 PDT 2017,69,0,0,0,-1,The 7 steps recommended by the Freshwater Rescue Plan (a cross sector alliance of advocacy groups) should be adopted: 1. Set strict and enforceable standards. 2. End public irrigation subsidies. 3. Create an Agricultural Transition Fund. 4. Decrease cow numbers. 5. Create polluter pays systems. 6. Support regional councils. 7. Transition to a low-carbon economy https://www.freshwaterrescueplan.org
1501088069198,Wed Jul 26 09:54:29 PDT 2017,60,0,12,33,1,Foreign companies should be encouraged to invest in & provide local jobs in water-consuming industries & farming.
1500859209328,Sun Jul 23 18:20:09 PDT 2017,53,42,1,0,-1,Citizens have a right to clean potable water for drinking & cooking. Water for gardens/car washing etc is a desirable luxury not a right.
1500360353133,Mon Jul 17 23:45:53 PDT 2017,23,0,78,2,1,22. We need to adopt innovative and clean new water technologies and agriculture techniques now to ensure we have abundant and clean water supplies for the future
1500360339239,Mon Jul 17 23:45:39 PDT 2017,22,0,67,9,1,"21. We need a national water fund contributed to by water polluters and extractors which would be used to improve water quality.
"
1501665868591,Wed Aug 02 02:24:28 PDT 2017,79,110,1,0,-1,Water is a commodity
1501560059392,Mon Jul 31 21:00:59 PDT 2017,78,98,1,0,-1,No had any of the listed issues so a disagree vote
1501547330987,Mon Jul 31 17:28:50 PDT 2017,77,15,1,0,-1,Irrigation can allow for higher value horticultural crops to be grown
1501446824133,Sun Jul 30 13:33:44 PDT 2017,76,0,26,0,1,Encouraging wider use of rainwater harvesting and greywater recycling for uses outside of human consumption will save valuable potable water and reduce load on water infrastructure.
1501394974515,Sat Jul 29 23:09:34 PDT 2017,75,81,22,2,1,Regional councils are underfunded and too political to ensure appropriate compliance and monitoring of environmental issues.
1501192025192,Thu Jul 27 14:47:05 PDT 2017,74,69,20,7,1,Heavy tax on water in plastic bottles
1501147880696,Thu Jul 27 02:31:20 PDT 2017,73,15,1,0,-1,The use of weed control sprays such as Roundup by councils around our waterways needs to stop.
1501141179410,Thu Jul 27 00:39:39 PDT 2017,72,65,13,6,1,Irrigation can allow for higher value horticultural crops to be grown in a manner that reduces nutrient losses to water ways
1501108722464,Wed Jul 26 15:38:42 PDT 2017,71,42,1,0,-1,Water of potable quality is not required for any plants or toilet flushing etc. We should consider rainwater harvesting such things.
1501088828232,Wed Jul 26 10:07:08 PDT 2017,70,0,41,4,1,The 7 steps of the Freshwater Rescue Plan (by a cross sector alliance of advocacy groups) should be adopted 1. Set strict and enforceable standards. 2. End public irrigation subsidies. 3. Create an Agricultural Transition Fund. 4. Decrease cow numbers. 5. Create polluter pays systems. 6. Support regional councils. 7. Transition to a low-carbon economy https://www.freshwaterrescueplan.org/the-plan/
1501088446027,Wed Jul 26 10:00:46 PDT 2017,68,0,27,8,1,"The heavy use of weed control sprays, 1080 and Brodifacum by councils around our waterways needs to stop."
1501088418351,Wed Jul 26 10:00:18 PDT 2017,67,0,43,5,1,No one should be granted private property rights over vital natural resources such as fresh water
1501088399079,Wed Jul 26 09:59:59 PDT 2017,66,0,39,6,1,"Everyone has a right to access and use freshwater water resources, not just those who own land beside a river/stream or over an aquifer."
1501088377164,Wed Jul 26 09:59:37 PDT 2017,65,0,37,9,1,"NZ should learn from countries with higher populations, like Australia and Europe, as to how best to protect water quality in urban areas"
1501088346295,Wed Jul 26 09:59:06 PDT 2017,64,0,49,2,1,"Minimum flow requirements to protect freshwater ecosystems and recreational use should be set for all rivers and streams
"
1500478135742,Wed Jul 19 08:28:55 PDT 2017,45,13,1,0,-1,No one should be granted private property rights over vital natural resources such as fresh water.
1500622760613,Fri Jul 21 00:39:20 PDT 2017,51,27,1,0,-1,"NZ should learn from countries with higher populations, like Australia and Europe, as to how best to protect water quality in urban areas."
1500622854130,Fri Jul 21 00:40:54 PDT 2017,52,27,1,0,-1,New urban development needs to include active stormwater and erosion/sediment control measures.
1500884324694,Mon Jul 24 01:18:44 PDT 2017,54,44,1,0,-1,Foreign companies should be encouraged to invest & provide local jobs in water-consuming industries & farming.
1500995950575,Tue Jul 25 08:19:10 PDT 2017,59,51,1,0,-1,The Monetisation and sale of are water supply will lead to the decline of New Zealand
1501088208345,Wed Jul 26 09:56:48 PDT 2017,63,0,43,4,1,NZ needs better integration of land and water management. Modern sources of water pollution largely stem from poor land management.
1501088159707,Wed Jul 26 09:55:59 PDT 2017,62,0,48,0,1,"New developments must be required to comply with best practice management of erosion, sediment run-off and stormwater."
1501088105080,Wed Jul 26 09:55:05 PDT 2017,61,0,42,4,1,"Citizens have a right to clean potable water for drinking, cooking & food growing. Water for ornamental gardens/lawns/car washing etc is a desirable luxury not a right."
1500961546163,Mon Jul 24 22:45:46 PDT 2017,58,15,1,0,-1,Aquifers only have the ability to come back into balance over decades so a precautionary approach is required.
1500961472077,Mon Jul 24 22:44:32 PDT 2017,57,15,1,0,-1,Gifting farmers to build irrigation with millions of taxpayer money is justified as it will benefit them.
1500961201179,Mon Jul 24 22:40:01 PDT 2017,56,15,1,0,-1,There is not a freshwater management crisis in New Zealand and nothing needs to be done about it.
1500929680130,Mon Jul 24 13:54:40 PDT 2017,55,46,1,0,-1,Potable water is a finite resource.
1500622495871,Fri Jul 21 00:34:55 PDT 2017,50,27,1,0,-1,"Improvements in water quality are best achieved by improvements in land management practices, such as stormwater controls in urban areas."
