participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,
1,1,1,38,25,11,1,,,1,1,-1,1,-1,-1,1,1,1,,1,,1,1,1,1,-1,,0,1,1,1,1,-1,1,1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,0,51,29,14,1,,,1,1,0,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,-1,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,-1,0,0,-1,0,-1,,,,,,,,,,,,,,,,,,,0,0,1,1,1,1,0,1,1,,1,,0,,1,1,1,,,
3,1,0,37,23,12,1,,,1,1,0,1,-1,-1,1,1,1,,1,,0,1,1,1,1,,1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,0,32,22,7,1,,,1,1,1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,1,1,,-1,-1,,1,1,1,1,-1,-1,0,0,,1,1,0,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,0,37,20,10,1,,,1,1,-1,1,-1,0,1,1,1,,0,,0,1,1,1,0,,1,0,0,1,1,-1,1,1,1,-1,-1,1,-1,-1,1,-1,0,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1,0,37,25,12,1,,,1,1,1,1,-1,-1,1,1,-1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,1,1,-1,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1,0,37,21,15,1,,,1,1,-1,1,-1,-1,1,1,1,,1,,1,1,1,1,1,,0,1,1,-1,-1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1,0,51,32,16,1,,,-1,1,1,1,-1,-1,1,1,-1,,1,,1,1,1,1,1,,1,1,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,,,,,,,,,,,,,,,,,,,-1,1,1,1,1,1,1,1,1,,1,,0,,0,0,1,,,
11,1,0,37,20,12,1,,,1,1,-1,1,-1,-1,1,1,1,,0,,1,1,1,1,1,,1,0,1,1,1,-1,1,-1,1,-1,1,-1,-1,-1,0,1,-1,0,-1,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
