n-votes,n-comments,n-visitors,n-voters,n-commenters
0,0,1,0,0
0,1,1,0,1
1,1,1,1,1
1,2,1,1,2
2,2,1,2,2
2,3,1,2,3
3,3,1,3,3
3,4,1,3,4
4,4,1,4,4
4,5,1,4,5
5,5,1,5,5
5,6,1,5,6
6,6,1,6,6
6,7,1,6,7
7,7,1,7,7
7,8,1,7,8
8,8,1,8,8
8,9,1,8,9
9,9,1,9,9
9,10,1,9,10
10,10,1,10,10
10,11,1,10,11
11,11,1,11,11
11,12,1,11,12
12,12,1,12,12
12,13,1,12,13
13,13,1,13,13
13,14,1,13,14
14,14,1,14,14
14,15,1,14,15
15,15,1,15,15
15,16,1,15,16
16,16,1,16,16
16,17,1,16,17
17,17,1,17,17
17,18,1,17,18
18,18,1,18,18
18,19,1,18,19
19,19,1,19,19
19,20,1,19,20
20,20,1,20,20
20,21,1,20,21
21,21,1,21,21
21,22,1,21,22
22,22,1,22,22
22,23,1,22,23
23,23,1,23,23
23,24,1,23,24
24,24,1,24,24
24,25,1,24,25
25,25,1,25,25
25,26,1,25,26
26,26,1,26,26
26,27,1,26,27
27,27,1,27,27
27,28,1,27,28
28,28,1,28,28
28,29,1,28,29
29,29,1,29,29
29,30,1,29,30
30,30,1,30,30
30,31,1,30,31
31,31,1,31,31
31,32,1,31,32
32,32,1,32,32
32,33,1,32,33
33,33,1,33,33
33,34,1,33,34
34,34,1,34,34
34,35,1,34,35
35,35,1,35,35
35,36,1,35,36
36,36,1,36,36
36,37,1,36,37
37,37,1,37,37
37,38,1,37,38
38,38,1,38,38
38,39,1,38,39
39,39,1,39,39
39,40,1,39,40
40,40,1,40,40
40,41,1,40,41
41,41,1,41,41
41,42,1,41,42
42,42,1,42,42
42,42,2,42,42
43,42,2,43,42
44,42,2,44,42
45,42,2,45,42
46,42,2,46,42
47,42,2,47,42
48,42,2,48,42
49,42,2,49,42
50,42,2,50,42
51,42,2,51,42
52,42,2,52,42
53,42,2,53,42
54,42,2,54,42
55,42,2,55,42
56,42,2,56,42
57,42,2,57,42
58,42,2,58,42
59,42,2,59,42
60,42,2,60,42
61,42,2,61,42
62,42,2,62,42
63,42,2,63,42
64,42,2,64,42
65,42,2,65,42
66,42,2,66,42
67,42,2,67,42
68,42,2,68,42
69,42,2,69,42
70,42,2,70,42
71,42,2,71,42
72,42,2,72,42
73,42,2,73,42
74,42,2,74,42
75,42,2,75,42
75,43,2,75,43
76,43,2,76,43
77,43,2,77,43
78,43,2,78,43
79,43,2,79,43
80,43,2,80,43
80,43,3,80,43
81,43,3,81,43
82,43,3,82,43
83,43,3,83,43
84,43,3,84,43
85,43,3,85,43
86,43,3,86,43
87,43,3,87,43
88,43,3,88,43
89,43,3,89,43
90,43,3,90,43
91,43,3,91,43
92,43,3,92,43
93,43,3,93,43
94,43,3,94,43
95,43,3,95,43
96,43,3,96,43
97,43,3,97,43
98,43,3,98,43
99,43,3,99,43
100,43,3,100,43
101,43,3,101,43
102,43,3,102,43
103,43,3,103,43
104,43,3,104,43
105,43,3,105,43
106,43,3,106,43
107,43,3,107,43
108,43,3,108,43
109,43,3,109,43
110,43,3,110,43
111,43,3,111,43
112,43,3,112,43
113,43,3,113,43
114,43,3,114,43
115,43,3,115,43
116,43,3,116,43
117,43,3,117,43
117,43,4,117,43
118,43,4,118,43
119,43,4,119,43
120,43,4,120,43
121,43,4,121,43
122,43,4,122,43
123,43,4,123,43
124,43,4,124,43
125,43,4,125,43
126,43,4,126,43
127,43,4,127,43
128,43,4,128,43
129,43,4,129,43
130,43,4,130,43
131,43,4,131,43
132,43,4,132,43
133,43,4,133,43
134,43,4,134,43
135,43,4,135,43
136,43,4,136,43
137,43,4,137,43
138,43,4,138,43
139,43,4,139,43
140,43,4,140,43
141,43,4,141,43
142,43,4,142,43
143,43,4,143,43
144,43,4,144,43
145,43,4,145,43
146,43,4,146,43
147,43,4,147,43
148,43,4,148,43
149,43,4,149,43
150,43,4,150,43
151,43,4,151,43
152,43,4,152,43
153,43,4,153,43
154,43,4,154,43
154,43,5,154,43
155,43,5,155,43
155,43,6,155,43
156,43,6,156,43
157,43,6,157,43
158,43,6,158,43
159,43,6,159,43
160,43,6,160,43
161,43,6,161,43
162,43,6,162,43
163,43,6,163,43
164,43,6,164,43
165,43,6,165,43
166,43,6,166,43
167,43,6,167,43
168,43,6,168,43
169,43,6,169,43
170,43,6,170,43
171,43,6,171,43
172,43,6,172,43
173,43,6,173,43
174,43,6,174,43
175,43,6,175,43
176,43,6,176,43
177,43,6,177,43
178,43,6,178,43
179,43,6,179,43
180,43,6,180,43
181,43,6,181,43
182,43,6,182,43
183,43,6,183,43
184,43,6,184,43
185,43,6,185,43
186,43,6,186,43
187,43,6,187,43
187,43,7,187,43
188,43,7,188,43
189,43,7,189,43
190,43,7,190,43
191,43,7,191,43
192,43,7,192,43
193,43,7,193,43
194,43,7,194,43
195,43,7,195,43
196,43,7,196,43
197,43,7,197,43
198,43,7,198,43
199,43,7,199,43
200,43,7,200,43
201,43,7,201,43
202,43,7,202,43
203,43,7,203,43
204,43,7,204,43
205,43,7,205,43
206,43,7,206,43
207,43,7,207,43
208,43,7,208,43
209,43,7,209,43
210,43,7,210,43
211,43,7,211,43
212,43,7,212,43
213,43,7,213,43
214,43,7,214,43
215,43,7,215,43
216,43,7,216,43
217,43,7,217,43
218,43,7,218,43
219,43,7,219,43
220,43,7,220,43
221,43,7,221,43
222,43,7,222,43
223,43,7,223,43
224,43,7,224,43
225,43,7,225,43
225,43,8,225,43
226,43,8,226,43
227,43,8,227,43
228,43,8,228,43
229,43,8,229,43
230,43,8,230,43
231,43,8,231,43
232,43,8,232,43
233,43,8,233,43
234,43,8,234,43
235,43,8,235,43
236,43,8,236,43
237,43,8,237,43
238,43,8,238,43
239,43,8,239,43
240,43,8,240,43
241,43,8,241,43
242,43,8,242,43
243,43,8,243,43
244,43,8,244,43
245,43,8,245,43
246,43,8,246,43
247,43,8,247,43
248,43,8,248,43
249,43,8,249,43
250,43,8,250,43
251,43,8,251,43
252,43,8,252,43
253,43,8,253,43
254,43,8,254,43
255,43,8,255,43
256,43,8,256,43
257,43,8,257,43
258,43,8,258,43
259,43,8,259,43
260,43,8,260,43
261,43,8,261,43
262,43,8,262,43
262,43,9,262,43
263,43,9,263,43
264,43,9,264,43
265,43,9,265,43
266,43,9,266,43
267,43,9,267,43
268,43,9,268,43
269,43,9,269,43
270,43,9,270,43
270,44,9,270,44
271,44,9,271,44
271,44,10,271,44
272,44,10,272,44
273,44,10,273,44
274,44,10,274,44
275,44,10,275,44
276,44,10,276,44
277,44,10,277,44
278,44,10,278,44
279,44,10,279,44
280,44,10,280,44
281,44,10,281,44
282,44,10,282,44
283,44,10,283,44
284,44,10,284,44
285,44,10,285,44
286,44,10,286,44
287,44,10,287,44
288,44,10,288,44
289,44,10,289,44
290,44,10,290,44
291,44,10,291,44
292,44,10,292,44
293,44,10,293,44
294,44,10,294,44
295,44,10,295,44
296,44,10,296,44
297,44,10,297,44
298,44,10,298,44
299,44,10,299,44
300,44,10,300,44
301,44,10,301,44
302,44,10,302,44
303,44,10,303,44
304,44,10,304,44
305,44,10,305,44
306,44,10,306,44
307,44,10,307,44
308,44,10,308,44
308,44,11,308,44
309,44,11,309,44
310,44,11,310,44
311,44,11,311,44
312,44,11,312,44
313,44,11,313,44
314,44,11,314,44
315,44,11,315,44
316,44,11,316,44
317,44,11,317,44
318,44,11,318,44
319,44,11,319,44
320,44,11,320,44
321,44,11,321,44
322,44,11,322,44
323,44,11,323,44
324,44,11,324,44
325,44,11,325,44
326,44,11,326,44
327,44,11,327,44
328,44,11,328,44
329,44,11,329,44
330,44,11,330,44
331,44,11,331,44
332,44,11,332,44
333,44,11,333,44
334,44,11,334,44
335,44,11,335,44
336,44,11,336,44
337,44,11,337,44
338,44,11,338,44
339,44,11,339,44
340,44,11,340,44
341,44,11,341,44
342,44,11,342,44
343,44,11,343,44
344,44,11,344,44
345,44,11,345,44
345,44,12,345,44
346,44,12,346,44
347,44,12,347,44
348,44,12,348,44
349,44,12,349,44
350,44,12,350,44
351,44,12,351,44
352,44,12,352,44
353,44,12,353,44
354,44,12,354,44
355,44,12,355,44
356,44,12,356,44
357,44,12,357,44
358,44,12,358,44
359,44,12,359,44
360,44,12,360,44
361,44,12,361,44
362,44,12,362,44
363,44,12,363,44
364,44,12,364,44
365,44,12,365,44
366,44,12,366,44
367,44,12,367,44
368,44,12,368,44
