timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment-body
1524885985717,Fri Apr 27 20:26:25 PDT 2018,147,316,1,0,-1,"Results of cutting the size of Government. Slower growth than other OECD countries, costly services, poverty, and collapsing infrastructure"
1524885715633,Fri Apr 27 20:21:55 PDT 2018,146,316,1,0,-1,"GST was a simple switch, to make those on low incomes pay more tax, to finance those on high incomes paying less."
1524885328111,Fri Apr 27 20:15:28 PDT 2018,145,316,1,0,-1,"A living wage prevents large firms from removing as much wealth, as they do, from communities."
1524885226971,Fri Apr 27 20:13:46 PDT 2018,144,316,11,1,1,Top tax rates in Australia are over 45%. New Zealand has plenty of room for a tax free bracket on low and higher taxes on high incomes.
1524885051229,Fri Apr 27 20:10:51 PDT 2018,143,316,12,1,1,"Wealthy individuals and companies have removed money from tax cuts, from our community, rather than re-investing, as Rogernomics promised."
1524884931514,Fri Apr 27 20:08:51 PDT 2018,142,316,1,0,-1,Tax is the cost of living in a civilised and functioning society.
1524884848983,Fri Apr 27 20:07:28 PDT 2018,141,316,8,1,1,Successful countries past and present have Government spending at 50 to 60% of GDP. New Zealand is around 30%.
1524884584027,Fri Apr 27 20:03:04 PDT 2018,140,316,1,0,-1,"WWF is a subsidy for employers, who do not pay fair wages."
1524884524321,Fri Apr 27 20:02:04 PDT 2018,139,316,1,0,-1,"The lack of inheritance and capital gains taxes, in New Zealand, makes for an unfair and badly balanced tax system."
1524884259494,Fri Apr 27 19:57:39 PDT 2018,138,316,1,0,-1,sGST is strongly regressive(impacts mainly on lower earners)and should be replaced with wealth and financial transaction taxes.
1524868110411,Fri Apr 27 15:28:30 PDT 2018,137,313,12,2,1,GST on rates should be set at zero. Either that or the Government pass on to the Councils the GST portion on rates instalments collected.
1524867051869,Fri Apr 27 15:10:51 PDT 2018,136,311,1,0,-1,"my savings approximately $6,400.00 which in the year to March 31 2018 paid gross interest of $6.69 had tax deducted $1.08 net interest $5.31"
1524831254947,Fri Apr 27 05:14:14 PDT 2018,135,305,1,0,-1,Tax the wealthiest 15% significantly more on their wealth. They have benefited most due to poor government policy at the expense if most.
1524819941639,Fri Apr 27 02:05:41 PDT 2018,134,296,1,0,-1,Drivers licences and changes to the are charged fees (govt income) plus gst (more govt income).  This is an abuse of power over citizens.
1524819101290,Fri Apr 27 01:51:41 PDT 2018,133,295,14,1,1,all taxes should be structured to reduce inequality gradually over a decade or two by including wealth in their assessment
1524807493003,Thu Apr 26 22:38:13 PDT 2018,132,290,1,0,-1,"All income should be taxed on the same basis, whether from wages, salary, self-employment or capital gain."
1524807459020,Thu Apr 26 22:37:39 PDT 2018,131,290,17,0,1,"There should be a tax-free threshold of $20K. It's an incentive to  work, and cuts the bureaucracy of taxing then giving back in benefits"
1524806192097,Thu Apr 26 22:16:32 PDT 2018,130,287,14,1,1,I am prepared to pay a higher tax rate to improve our public services
1524789936992,Thu Apr 26 17:45:36 PDT 2018,129,283,1,0,-1,Installing solar panels and storage batteries on all state house is an imperative.
1524789747883,Thu Apr 26 17:42:27 PDT 2018,128,283,1,0,-1,Free dental/medical care funded for beneficiaries relying  solely on their benefit for income. Poor  health costs taxpayers dearly.
1524646674576,Wed Apr 25 01:57:54 PDT 2018,123,266,40,1,1,"Company income tax is only 16% of the total tax take. Changes should be made to increase this, particularly from multi-national companies"
1524693516990,Wed Apr 25 14:58:36 PDT 2018,126,270,1,0,-1,"People, the environment, the culture, health and happiness of people is more important than purchase power or corporate interests."
1524701661770,Wed Apr 25 17:14:21 PDT 2018,127,273,19,8,1,"No tax exemption for charities.  Services now done by charities eg Refuge would be funded by the tax, & Sanitarium etc would pay fair tax."
1524649322150,Wed Apr 25 02:42:02 PDT 2018,125,267,1,0,-1,Local government / councils should be forced to amalgamate to reduce duplication between small councils and thus reduce rates.
1524649241864,Wed Apr 25 02:40:41 PDT 2018,124,267,36,1,1,Tax rate thresholds should be adjustment by inflation each year (as per the UK) to ensure the proportion of tax paid remains the same
1524561428772,Tue Apr 24 02:17:08 PDT 2018,121,250,17,28,1,Working for families creates middle class beneficiaries and perverse incentives to turn down promotions that would lead to long term gain
1524590328156,Tue Apr 24 10:18:48 PDT 2018,122,254,1,0,-1,I'm gay
1524561274401,Tue Apr 24 02:14:34 PDT 2018,120,250,32,19,1,A wealth tax on savings from already taxed income is unfair and unreasonably punishes / discourages positive economic behaviour
1524531279669,Mon Apr 23 17:54:39 PDT 2018,119,242,1,0,-1,Many of the statements are cannot be answered by simply agree or disagree
1524527637358,Mon Apr 23 16:53:57 PDT 2018,118,240,1,0,-1,Tax structures should not exaggerate and amplify inequality
1524517945679,Mon Apr 23 14:12:25 PDT 2018,117,50,1,0,-1,"The community pays tax to provide the services everyone needs - from each according to their means, to each according to their needs."
1524511995137,Mon Apr 23 12:33:15 PDT 2018,116,237,1,0,-1,"The tax people pay must fairly reflect the total personal wealth benefits they have - not just the ""income"" they declare to IRD."
1524483405009,Mon Apr 23 04:36:45 PDT 2018,115,234,1,0,-1,Nothing
1524467413089,Mon Apr 23 00:10:13 PDT 2018,114,226,1,0,-1,Ariana
1524464726402,Sun Apr 22 23:25:26 PDT 2018,113,224,1,0,-1,Cut all taxes except GST.  Don't allow offsets for business. Thisbperhaps would be fairest tax for all.
1524452991902,Sun Apr 22 20:09:51 PDT 2018,112,215,37,11,1,NZ should reduce tax on income and increase it on wealth and pollution.
1524387596013,Sun Apr 22 01:59:56 PDT 2018,106,206,1,0,-1,Spending Power in New Zealand is too centralised.  Give local authorities more ability to improve the lives of their communities.
1524390285693,Sun Apr 22 02:44:45 PDT 2018,111,21,1,0,-1,implement a Tobin Tax to discourage short term currency speculation. https://en.wikipedia.org/wiki/Tobin_tax
1524389650095,Sun Apr 22 02:34:10 PDT 2018,110,21,1,0,-1,Create a directory of foreign owned trusts to prevent the $1.35bn of money laundered in NZ each year http://bit.ly/transparencyNZ
1524389038990,Sun Apr 22 02:23:58 PDT 2018,109,21,78,10,1,"in 2013 107 out of 161 high-wealth individuals, declared less $70,000 income. Find people like this & tax them. http://bit.ly/taxavoiders12"
1524388456867,Sun Apr 22 02:14:16 PDT 2018,108,21,1,0,-1,The government should work much harder to reel in the estimated $2bn of tax fraud each year. http://bit.ly/taxfraud2014
1524387833342,Sun Apr 22 02:03:53 PDT 2018,107,206,34,46,1,"A very small (1%) tax for every financial transaction (transfer, withdrawal etc) would be fair"
1524387421806,Sun Apr 22 01:57:01 PDT 2018,105,206,94,5,1,Taxes need to be simple to understand and transparent
1524387384995,Sun Apr 22 01:56:24 PDT 2018,104,206,1,0,-1,Taxes are useful to influence behaviour as well as raising revenue
1524197911648,Thu Apr 19 21:18:31 PDT 2018,92,179,59,22,1,Helping communities take responsibility for their issues should mean more funding from taxes being controlled locally instead of centrally.
1524199741722,Thu Apr 19 21:49:01 PDT 2018,94,182,1,0,-1,"When the minimum wage rises, all benefits that are calculated in line with earnings or limits and clawbacks should also be adjusted"
1524305310453,Sat Apr 21 03:08:30 PDT 2018,103,200,1,0,-1,"I see cheap food in UK, Aus & USA. Gst penalises children & low wage. Food/water/home shouldnt be a luxury item for elites"
1524273544959,Fri Apr 20 18:19:04 PDT 2018,102,197,101,9,1,A gradual pollution tax for business to provide funds for cleaning up and to discourage pollution. The more pollution the higher the tax.
1524272698170,Fri Apr 20 18:04:58 PDT 2018,101,197,67,10,1,Lifting benefit abatement rates would encourage beneficiaries to transition to work and help lift them above the poverty line.
1524210536739,Fri Apr 20 00:48:56 PDT 2018,100,187,8,72,1,Tobacco extortion tax is eroding NZ society in a wide range of area's and contributing to that which inhibits reason.
1524200202182,Thu Apr 19 21:56:42 PDT 2018,99,182,52,33,1,"Capital gains tax should be treated differently for housing, investments or business assets"
1524200046604,Thu Apr 19 21:54:06 PDT 2018,98,182,60,20,1,Small businesses hiring beneficiaries should be incentivised through tax
1524199869482,Thu Apr 19 21:51:09 PDT 2018,97,182,47,19,1,"Capital gains tax, if implemented, should only be incurred at the point of sale of property"
1524199835649,Thu Apr 19 21:50:35 PDT 2018,96,182,43,34,1,People without children who are on low incomes should get rebates or income top ups similar to working for families
1524199773725,Thu Apr 19 21:49:33 PDT 2018,95,182,70,5,1,Secondary tax rates should be adjusted to reflect total income
1524199703650,Thu Apr 19 21:48:23 PDT 2018,93,182,1,0,-1,Beneficiaries who earn income should have a lesser clawback of their benefits to encourage them to maximise their work opportunities
1524194808253,Thu Apr 19 20:26:48 PDT 2018,91,175,1,0,-1,It's clear and concise
1524179515065,Thu Apr 19 16:11:55 PDT 2018,90,170,82,45,1,The GST should be removed from basic foods. It is a regressive tax that hits the poor hardest.
1524125274105,Thu Apr 19 01:07:54 PDT 2018,89,149,17,61,1,"NZ Statistics show that after tax and transfers, NZ inequality has not been growing in the last 20 years, unlike other places in the world."
1524125211414,Thu Apr 19 01:06:51 PDT 2018,88,149,75,6,1,"Consideration of the ""fairness"" of tax needs to include the full tax and transfer system - that is why we have benefits and WFF."
1524125125293,Thu Apr 19 01:05:25 PDT 2018,87,149,44,46,1,"Australia has a capital gains tax, and very high property prices.  A capital gains tax is unlikely to materially impact property prices."
1524125064891,Thu Apr 19 01:04:24 PDT 2018,86,149,91,6,1,Effective marginal tax rates (EMTR) matter.  The highest EMTRs are for those moving off a benefit.  A tax free threshold would help them.
1524125003091,Thu Apr 19 01:03:23 PDT 2018,85,149,1,0,-1,"Those with more should pay more in tax.  Those with more means those with wealth, not necessarily income - we should consider a wealth tax"
1524121095279,Wed Apr 18 23:58:15 PDT 2018,84,146,110,12,1,Tax evasion by any means should be seen as a crime against the society.
1524121022791,Wed Apr 18 23:57:02 PDT 2018,83,146,20,80,1,I envision that a flat tax across the board with no exemptions or loop holes on all earnings from any source (say 20%) and a GST
1524092067316,Wed Apr 18 15:54:27 PDT 2018,82,127,71,61,1,"It is not a lack of tax income that leads to underfunded services, but rather the choices made by government on what are priorities to fund"
1524033504096,Tue Apr 17 23:38:24 PDT 2018,81,107,1,0,-1,Clear and concise
1524018279525,Tue Apr 17 19:24:39 PDT 2018,80,42,184,5,1,We should be following countries like Australia and the UK and ensuring multinationals pay their fair share of tax in New Zealand where people are using their services.
1523962078137,Tue Apr 17 03:47:58 PDT 2018,72,72,1,0,-1,"In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes."
1524017291139,Tue Apr 17 19:08:11 PDT 2018,79,0,94,37,1,"Whereas workers pay income tax, the robots / machines that replace them do not. May be there should be a production tax, a VAT on value created"
