n-votes,n-comments,n-visitors,n-voters,n-commenters
0,0,1,0,0
0,1,1,0,1
0,2,1,0,2
0,3,1,0,3
0,4,1,0,4
0,5,1,0,5
0,6,1,0,6
0,7,1,0,7
0,8,1,0,8
0,9,1,0,9
0,10,1,0,10
0,11,1,0,11
0,12,1,0,12
0,13,1,0,13
0,14,1,0,14
0,15,1,0,15
0,16,1,0,16
0,17,1,0,17
0,18,1,0,18
0,19,1,0,19
0,20,1,0,20
0,21,1,0,21
0,22,1,0,22
0,23,1,0,23
0,24,1,0,24
0,25,1,0,25
0,26,1,0,26
0,27,1,0,27
0,28,1,0,28
0,29,1,0,29
0,30,1,0,30
0,31,1,0,31
0,32,1,0,32
0,33,1,0,33
0,34,1,0,34
0,35,1,0,35
0,36,1,0,36
0,37,1,0,37
0,38,1,0,38
0,39,1,0,39
0,40,1,0,40
0,41,1,0,41
0,41,2,0,41
1,41,2,1,41
2,41,2,2,41
3,41,2,3,41
4,41,2,4,41
5,41,2,5,41
6,41,2,6,41
7,41,2,7,41
8,41,2,8,41
9,41,2,9,41
10,41,2,10,41
11,41,2,11,41
12,41,2,12,41
13,41,2,13,41
14,41,2,14,41
15,41,2,15,41
16,41,2,16,41
17,41,2,17,41
18,41,2,18,41
19,41,2,19,41
20,41,2,20,41
21,41,2,21,41
22,41,2,22,41
23,41,2,23,41
24,41,2,24,41
24,41,3,24,41
25,41,3,25,41
26,41,3,26,41
27,41,3,27,41
28,41,3,28,41
29,41,3,29,41
30,41,3,30,41
31,41,3,31,41
32,41,3,32,41
33,41,3,33,41
34,41,3,34,41
35,41,3,35,41
36,41,3,36,41
37,41,3,37,41
38,41,3,38,41
39,41,3,39,41
40,41,3,40,41
41,41,3,41,41
42,41,3,42,41
43,41,3,43,41
44,41,3,44,41
45,41,3,45,41
46,41,3,46,41
47,41,3,47,41
48,41,3,48,41
49,41,3,49,41
50,41,3,50,41
51,41,3,51,41
52,41,3,52,41
53,41,3,53,41
54,41,3,54,41
55,41,3,55,41
56,41,3,56,41
57,41,3,57,41
58,41,3,58,41
59,41,3,59,41
60,41,3,60,41
61,41,3,61,41
62,41,3,62,41
63,41,3,63,41
64,41,3,64,41
65,41,3,65,41
65,41,4,65,41
66,41,4,66,41
67,41,4,67,41
68,41,4,68,41
69,41,4,69,41
70,41,4,70,41
71,41,4,71,41
72,41,4,72,41
73,41,4,73,41
74,41,4,74,41
75,41,4,75,41
76,41,4,76,41
77,41,4,77,41
78,41,4,78,41
79,41,4,79,41
80,41,4,80,41
81,41,4,81,41
82,41,4,82,41
83,41,4,83,41
84,41,4,84,41
85,41,4,85,41
86,41,4,86,41
87,41,4,87,41
88,41,4,88,41
89,41,4,89,41
90,41,4,90,41
91,41,4,91,41
92,41,4,92,41
93,41,4,93,41
94,41,4,94,41
95,41,4,95,41
96,41,4,96,41
97,41,4,97,41
98,41,4,98,41
99,41,4,99,41
100,41,4,100,41
101,41,4,101,41
102,41,4,102,41
103,41,4,103,41
104,41,4,104,41
105,41,4,105,41
106,41,4,106,41
106,41,5,106,41
107,41,5,107,41
108,41,5,108,41
109,41,5,109,41
110,41,5,110,41
111,41,5,111,41
112,41,5,112,41
113,41,5,113,41
114,41,5,114,41
115,41,5,115,41
116,41,5,116,41
117,41,5,117,41
118,41,5,118,41
119,41,5,119,41
120,41,5,120,41
121,41,5,121,41
122,41,5,122,41
123,41,5,123,41
124,41,5,124,41
125,41,5,125,41
126,41,5,126,41
127,41,5,127,41
128,41,5,128,41
129,41,5,129,41
130,41,5,130,41
131,41,5,131,41
132,41,5,132,41
133,41,5,133,41
134,41,5,134,41
135,41,5,135,41
136,41,5,136,41
137,41,5,137,41
138,41,5,138,41
139,41,5,139,41
140,41,5,140,41
140,41,6,140,41
141,41,6,141,41
142,41,6,142,41
143,41,6,143,41
144,41,6,144,41
145,41,6,145,41
146,41,6,146,41
147,41,6,147,41
148,41,6,148,41
149,41,6,149,41
150,41,6,150,41
151,41,6,151,41
152,41,6,152,41
153,41,6,153,41
154,41,6,154,41
155,41,6,155,41
156,41,6,156,41
157,41,6,157,41
158,41,6,158,41
159,41,6,159,41
160,41,6,160,41
161,41,6,161,41
162,41,6,162,41
163,41,6,163,41
164,41,6,164,41
165,41,6,165,41
166,41,6,166,41
167,41,6,167,41
168,41,6,168,41
169,41,6,169,41
170,41,6,170,41
171,41,6,171,41
172,41,6,172,41
173,41,6,173,41
174,41,6,174,41
175,41,6,175,41
176,41,6,176,41
177,41,6,177,41
178,41,6,178,41
179,41,6,179,41
180,41,6,180,41
181,41,6,181,41
182,41,6,182,41
183,41,6,183,41
184,41,6,184,41
185,41,6,185,41
186,41,6,186,41
187,41,6,187,41
188,41,6,188,41
188,42,6,188,42
189,42,6,189,42
189,42,7,189,42
190,42,7,190,42
191,42,7,191,42
192,42,7,192,42
193,42,7,193,42
194,42,7,194,42
195,42,7,195,42
196,42,7,196,42
197,42,7,197,42
198,42,7,198,42
199,42,7,199,42
200,42,7,200,42
201,42,7,201,42
202,42,7,202,42
203,42,7,203,42
204,42,7,204,42
205,42,7,205,42
206,42,7,206,42
207,42,7,207,42
208,42,7,208,42
209,42,7,209,42
210,42,7,210,42
211,42,7,211,42
212,42,7,212,42
213,42,7,213,42
214,42,7,214,42
215,42,7,215,42
216,42,7,216,42
217,42,7,217,42
218,42,7,218,42
219,42,7,219,42
220,42,7,220,42
221,42,7,221,42
222,42,7,222,42
223,42,7,223,42
224,42,7,224,42
225,42,7,225,42
226,42,7,226,42
227,42,7,227,42
228,42,7,228,42
229,42,7,229,42
230,42,7,230,42
231,42,7,231,42
232,42,7,232,42
232,42,8,232,42
233,42,8,233,42
234,42,8,234,42
235,42,8,235,42
236,42,8,236,42
237,42,8,237,42
238,42,8,238,42
239,42,8,239,42
240,42,8,240,42
241,42,8,241,42
242,42,8,242,42
243,42,8,243,42
244,42,8,244,42
245,42,8,245,42
246,42,8,246,42
247,42,8,247,42
248,42,8,248,42
249,42,8,249,42
250,42,8,250,42
251,42,8,251,42
252,42,8,252,42
253,42,8,253,42
254,42,8,254,42
255,42,8,255,42
256,42,8,256,42
257,42,8,257,42
258,42,8,258,42
259,42,8,259,42
260,42,8,260,42
261,42,8,261,42
262,42,8,262,42
263,42,8,263,42
264,42,8,264,42
265,42,8,265,42
266,42,8,266,42
267,42,8,267,42
268,42,8,268,42
269,42,8,269,42
270,42,8,270,42
271,42,8,271,42
272,42,8,272,42
273,42,8,273,42
274,42,8,274,42
274,42,9,274,42
275,42,9,275,42
275,42,10,275,42
276,42,10,276,42
276,42,11,276,42
277,42,11,277,42
278,42,11,278,42
279,42,11,279,42
280,42,11,280,42
281,42,11,281,42
282,42,11,282,42
283,42,11,283,42
284,42,11,284,42
285,42,11,285,42
286,42,11,286,42
287,42,11,287,42
288,42,11,288,42
289,42,11,289,42
290,42,11,290,42
291,42,11,291,42
292,42,11,292,42
293,42,11,293,42
294,42,11,294,42
295,42,11,295,42
296,42,11,296,42
297,42,11,297,42
298,42,11,298,42
299,42,11,299,42
300,42,11,300,42
301,42,11,301,42
302,42,11,302,42
303,42,11,303,42
304,42,11,304,42
305,42,11,305,42
306,42,11,306,42
307,42,11,307,42
308,42,11,308,42
309,42,11,309,42
310,42,11,310,42
311,42,11,311,42
312,42,11,312,42
313,42,11,313,42
314,42,11,314,42
315,42,11,315,42
316,42,11,316,42
317,42,11,317,42
318,42,11,318,42
318,42,12,318,42
319,42,12,319,42
320,42,12,320,42
321,42,12,321,42
322,42,12,322,42
323,42,12,323,42
324,42,12,324,42
325,42,12,325,42
326,42,12,326,42
327,42,12,327,42
328,42,12,328,42
329,42,12,329,42
330,42,12,330,42
331,42,12,331,42
332,42,12,332,42
333,42,12,333,42
334,42,12,334,42
335,42,12,335,42
336,42,12,336,42
337,42,12,337,42
338,42,12,338,42
339,42,12,339,42
340,42,12,340,42
341,42,12,341,42
342,42,12,342,42
343,42,12,343,42
344,42,12,344,42
345,42,12,345,42
346,42,12,346,42
347,42,12,347,42
348,42,12,348,42
349,42,12,349,42
350,42,12,350,42
351,42,12,351,42
352,42,12,352,42
353,42,12,353,42
354,42,12,354,42
355,42,12,355,42
356,42,12,356,42
357,42,12,357,42
358,42,12,358,42
359,42,12,359,42
360,42,12,360,42
360,43,12,360,43
361,43,12,361,43
361,43,13,361,43
362,43,13,362,43
363,43,13,363,43
364,43,13,364,43
365,43,13,365,43
365,43,14,365,43
366,43,14,366,43
367,43,14,367,43
