n-votes,n-comments,n-visitors,n-voters,n-commenters
0,0,1,0,0
0,1,1,0,1
0,2,1,0,2
0,3,1,0,3
0,4,1,0,4
0,5,1,0,5
0,6,1,0,6
0,7,1,0,7
0,8,1,0,8
0,9,1,0,9
0,10,1,0,10
0,11,1,0,11
0,12,1,0,12
0,13,1,0,13
0,14,1,0,14
0,15,1,0,15
0,16,1,0,16
0,17,1,0,17
0,18,1,0,18
0,19,1,0,19
0,20,1,0,20
0,21,1,0,21
0,22,1,0,22
0,23,1,0,23
0,24,1,0,24
0,25,1,0,25
0,26,1,0,26
0,27,1,0,27
0,28,1,0,28
0,29,1,0,29
0,30,1,0,30
0,31,1,0,31
0,32,1,0,32
0,33,1,0,33
0,34,1,0,34
0,35,1,0,35
0,36,1,0,36
0,37,1,0,37
0,38,1,0,38
0,39,1,0,39
0,40,1,0,40
0,41,1,0,41
0,42,1,0,42
0,43,1,0,43
0,43,2,0,43
1,43,2,1,43
2,43,2,2,43
3,43,2,3,43
4,43,2,4,43
5,43,2,5,43
6,43,2,6,43
7,43,2,7,43
8,43,2,8,43
9,43,2,9,43
10,43,2,10,43
11,43,2,11,43
12,43,2,12,43
13,43,2,13,43
14,43,2,14,43
15,43,2,15,43
16,43,2,16,43
17,43,2,17,43
18,43,2,18,43
19,43,2,19,43
20,43,2,20,43
21,43,2,21,43
22,43,2,22,43
23,43,2,23,43
24,43,2,24,43
25,43,2,25,43
26,43,2,26,43
27,43,2,27,43
28,43,2,28,43
29,43,2,29,43
30,43,2,30,43
31,43,2,31,43
32,43,2,32,43
33,43,2,33,43
34,43,2,34,43
35,43,2,35,43
36,43,2,36,43
37,43,2,37,43
38,43,2,38,43
39,43,2,39,43
40,43,2,40,43
41,43,2,41,43
42,43,2,42,43
42,43,3,42,43
43,43,3,43,43
44,43,3,44,43
45,43,3,45,43
46,43,3,46,43
47,43,3,47,43
48,43,3,48,43
49,43,3,49,43
50,43,3,50,43
51,43,3,51,43
52,43,3,52,43
53,43,3,53,43
54,43,3,54,43
55,43,3,55,43
55,43,4,55,43
56,43,4,56,43
57,43,4,57,43
58,43,4,58,43
59,43,4,59,43
60,43,4,60,43
61,43,4,61,43
62,43,4,62,43
63,43,4,63,43
64,43,4,64,43
65,43,4,65,43
66,43,4,66,43
67,43,4,67,43
68,43,4,68,43
69,43,4,69,43
70,43,4,70,43
71,43,4,71,43
72,43,4,72,43
73,43,4,73,43
74,43,4,74,43
75,43,4,75,43
76,43,4,76,43
77,43,4,77,43
78,43,4,78,43
79,43,4,79,43
80,43,4,80,43
81,43,4,81,43
82,43,4,82,43
83,43,4,83,43
84,43,4,84,43
85,43,4,85,43
86,43,4,86,43
87,43,4,87,43
88,43,4,88,43
89,43,4,89,43
90,43,4,90,43
91,43,4,91,43
92,43,4,92,43
93,43,4,93,43
94,43,4,94,43
95,43,4,95,43
96,43,4,96,43
97,43,4,97,43
98,43,4,98,43
99,43,4,99,43
100,43,4,100,43
101,43,4,101,43
102,43,4,102,43
103,43,4,103,43
104,43,4,104,43
105,43,4,105,43
106,43,4,106,43
107,43,4,107,43
108,43,4,108,43
109,43,4,109,43
110,43,4,110,43
111,43,4,111,43
111,44,4,111,44
112,44,4,112,44
113,44,4,113,44
114,44,4,114,44
115,44,4,115,44
116,44,4,116,44
117,44,4,117,44
118,44,4,118,44
119,44,4,119,44
120,44,4,120,44
121,44,4,121,44
122,44,4,122,44
123,44,4,123,44
124,44,4,124,44
125,44,4,125,44
126,44,4,126,44
127,44,4,127,44
127,44,5,127,44
128,44,5,128,44
129,44,5,129,44
130,44,5,130,44
131,44,5,131,44
131,44,6,131,44
132,44,6,132,44
133,44,6,133,44
134,44,6,134,44
135,44,6,135,44
136,44,6,136,44
137,44,6,137,44
138,44,6,138,44
139,44,6,139,44
140,44,6,140,44
141,44,6,141,44
142,44,6,142,44
143,44,6,143,44
144,44,6,144,44
145,44,6,145,44
146,44,6,146,44
147,44,6,147,44
148,44,6,148,44
149,44,6,149,44
150,44,6,150,44
151,44,6,151,44
152,44,6,152,44
153,44,6,153,44
153,44,7,153,44
154,44,7,154,44
155,44,7,155,44
156,44,7,156,44
157,44,7,157,44
158,44,7,158,44
159,44,7,159,44
160,44,7,160,44
161,44,7,161,44
162,44,7,162,44
163,44,7,163,44
164,44,7,164,44
165,44,7,165,44
166,44,7,166,44
167,44,7,167,44
168,44,7,168,44
169,44,7,169,44
170,44,7,170,44
171,44,7,171,44
172,44,7,172,44
173,44,7,173,44
174,44,7,174,44
175,44,7,175,44
176,44,7,176,44
177,44,7,177,44
178,44,7,178,44
179,44,7,179,44
180,44,7,180,44
181,44,7,181,44
182,44,7,182,44
183,44,7,183,44
184,44,7,184,44
185,44,7,185,44
186,44,7,186,44
187,44,7,187,44
188,44,7,188,44
189,44,7,189,44
190,44,7,190,44
191,44,7,191,44
192,44,7,192,44
193,44,7,193,44
194,44,7,194,44
195,44,7,195,44
196,44,7,196,44
196,45,7,196,45
197,45,7,197,45
198,45,7,198,45
199,45,7,199,45
199,45,8,199,45
200,45,8,200,45
201,45,8,201,45
202,45,8,202,45
203,45,8,203,45
204,45,8,204,45
205,45,8,205,45
206,45,8,206,45
207,45,8,207,45
208,45,8,208,45
209,45,8,209,45
210,45,8,210,45
211,45,8,211,45
212,45,8,212,45
213,45,8,213,45
214,45,8,214,45
215,45,8,215,45
216,45,8,216,45
217,45,8,217,45
218,45,8,218,45
219,45,8,219,45
220,45,8,220,45
221,45,8,221,45
222,45,8,222,45
223,45,8,223,45
224,45,8,224,45
225,45,8,225,45
226,45,8,226,45
227,45,8,227,45
228,45,8,228,45
229,45,8,229,45
230,45,8,230,45
231,45,8,231,45
232,45,8,232,45
233,45,8,233,45
234,45,8,234,45
235,45,8,235,45
236,45,8,236,45
237,45,8,237,45
238,45,8,238,45
239,45,8,239,45
240,45,8,240,45
241,45,8,241,45
242,45,8,242,45
243,45,8,243,45
244,45,8,244,45
245,45,8,245,45
246,45,8,246,45
247,45,8,247,45
248,45,8,248,45
249,45,8,249,45
250,45,8,250,45
251,45,8,251,45
252,45,8,252,45
253,45,8,253,45
254,45,8,254,45
255,45,8,255,45
256,45,8,256,45
257,45,8,257,45
258,45,8,258,45
258,45,9,258,45
259,45,9,259,45
260,45,9,260,45
261,45,9,261,45
262,45,9,262,45
263,45,9,263,45
264,45,9,264,45
265,45,9,265,45
266,45,9,266,45
267,45,9,267,45
268,45,9,268,45
269,45,9,269,45
270,45,9,270,45
271,45,9,271,45
272,45,9,272,45
273,45,9,273,45
274,45,9,274,45
275,45,9,275,45
276,45,9,276,45
277,45,9,277,45
278,45,9,278,45
279,45,9,279,45
280,45,9,280,45
281,45,9,281,45
282,45,9,282,45
283,45,9,283,45
284,45,9,284,45
285,45,9,285,45
286,45,9,286,45
287,45,9,287,45
288,45,9,288,45
289,45,9,289,45
290,45,9,290,45
291,45,9,291,45
292,45,9,292,45
293,45,9,293,45
294,45,9,294,45
295,45,9,295,45
296,45,9,296,45
297,45,9,297,45
298,45,9,298,45
298,45,10,298,45
299,45,10,299,45
300,45,10,300,45
301,45,10,301,45
302,45,10,302,45
303,45,10,303,45
304,45,10,304,45
305,45,10,305,45
306,45,10,306,45
306,45,11,306,45
307,45,11,307,45
308,45,11,308,45
309,45,11,309,45
310,45,11,310,45
311,45,11,311,45
312,45,11,312,45
313,45,11,313,45
314,45,11,314,45
315,45,11,315,45
316,45,11,316,45
317,45,11,317,45
318,45,11,318,45
319,45,11,319,45
320,45,11,320,45
321,45,11,321,45
322,45,11,322,45
323,45,11,323,45
324,45,11,324,45
325,45,11,325,45
326,45,11,326,45
327,45,11,327,45
328,45,11,328,45
329,45,11,329,45
330,45,11,330,45
331,45,11,331,45
332,45,11,332,45
333,45,11,333,45
334,45,11,334,45
335,45,11,335,45
336,45,11,336,45
337,45,11,337,45
338,45,11,338,45
339,45,11,339,45
340,45,11,340,45
341,45,11,341,45
342,45,11,342,45
343,45,11,343,45
344,45,11,344,45
345,45,11,345,45
346,45,11,346,45
347,45,11,347,45
348,45,11,348,45
349,45,11,349,45
350,45,11,350,45
351,45,11,351,45
352,45,11,352,45
352,45,12,352,45
353,45,12,353,45
354,45,12,354,45
355,45,12,355,45
356,45,12,356,45
357,45,12,357,45
358,45,12,358,45
359,45,12,359,45
360,45,12,360,45
361,45,12,361,45
362,45,12,362,45
363,45,12,363,45
364,45,12,364,45
365,45,12,365,45
366,45,12,366,45
367,45,12,367,45
