n-votes,n-comments,n-visitors,n-voters,n-commenters
0,0,1,0,0
0,1,1,0,1
1,1,1,1,1
1,2,1,1,2
2,2,1,2,2
2,3,1,2,3
3,3,1,3,3
3,4,1,3,4
4,4,1,4,4
4,5,1,4,5
5,5,1,5,5
5,6,1,5,6
6,6,1,6,6
6,7,1,6,7
7,7,1,7,7
7,8,1,7,8
8,8,1,8,8
8,9,1,8,9
9,9,1,9,9
9,9,2,9,9
9,10,2,9,10
10,10,2,10,10
10,10,3,10,10
10,10,4,10,10
10,10,5,10,10
11,10,5,11,10
12,10,5,12,10
13,10,5,13,10
14,10,5,14,10
15,10,5,15,10
16,10,5,16,10
17,10,5,17,10
18,10,5,18,10
19,10,5,19,10
20,10,5,20,10
21,10,5,21,10
22,10,5,22,10
23,10,5,23,10
24,10,5,24,10
25,10,5,25,10
26,10,5,26,10
27,10,5,27,10
28,10,5,28,10
29,10,5,29,10
30,10,5,30,10
31,10,5,31,10
32,10,5,32,10
33,10,5,33,10
34,10,5,34,10
35,10,5,35,10
36,10,5,36,10
37,10,5,37,10
38,10,5,38,10
39,10,5,39,10
40,10,5,40,10
40,11,5,40,11
41,11,5,41,11
41,12,5,41,12
42,12,5,42,12
43,12,5,43,12
43,12,6,43,12
44,12,6,44,12
45,12,6,45,12
46,12,6,46,12
47,12,6,47,12
48,12,6,48,12
49,12,6,49,12
50,12,6,50,12
51,12,6,51,12
52,12,6,52,12
53,12,6,53,12
54,12,6,54,12
55,12,6,55,12
55,12,7,55,12
55,12,8,55,12
55,12,9,55,12
55,12,10,55,12
56,12,10,56,12
56,12,11,56,12
57,12,11,57,12
58,12,11,58,12
59,12,11,59,12
60,12,11,60,12
61,12,11,61,12
62,12,11,62,12
63,12,11,63,12
64,12,11,64,12
65,12,11,65,12
66,12,11,66,12
67,12,11,67,12
67,12,12,67,12
68,12,12,68,12
69,12,12,69,12
70,12,12,70,12
71,12,12,71,12
72,12,12,72,12
73,12,12,73,12
74,12,12,74,12
75,12,12,75,12
76,12,12,76,12
77,12,12,77,12
78,12,12,78,12
79,12,12,79,12
80,12,12,80,12
81,12,12,81,12
82,12,12,82,12
83,12,12,83,12
84,12,12,84,12
85,12,12,85,12
85,12,13,85,12
85,12,14,85,12
85,12,15,85,12
85,12,16,85,12
85,12,17,85,12
85,12,18,85,12
86,12,18,86,12
87,12,18,87,12
88,12,18,88,12
89,12,18,89,12
90,12,18,90,12
91,12,18,91,12
92,12,18,92,12
93,12,18,93,12
94,12,18,94,12
95,12,18,95,12
96,12,18,96,12
96,12,19,96,12
96,12,20,96,12
96,12,21,96,12
97,12,21,97,12
98,12,21,98,12
99,12,21,99,12
100,12,21,100,12
101,12,21,101,12
102,12,21,102,12
103,12,21,103,12
104,12,21,104,12
105,12,21,105,12
106,12,21,106,12
107,12,21,107,12
107,13,21,107,13
108,13,21,108,13
109,13,21,109,13
110,13,21,110,13
110,13,22,110,13
111,13,22,111,13
112,13,22,112,13
113,13,22,113,13
114,13,22,114,13
115,13,22,115,13
116,13,22,116,13
117,13,22,117,13
118,13,22,118,13
119,13,22,119,13
120,13,22,120,13
121,13,22,121,13
121,13,23,121,13
121,13,24,121,13
121,13,25,121,13
122,13,25,122,13
123,13,25,123,13
124,13,25,124,13
125,13,25,125,13
126,13,25,126,13
127,13,25,127,13
128,13,25,128,13
129,13,25,129,13
130,13,25,130,13
131,13,25,131,13
131,14,25,131,14
132,14,25,132,14
133,14,25,133,14
133,14,26,133,14
133,14,27,133,14
133,14,28,133,14
133,15,28,133,15
134,15,28,134,15
134,16,28,134,16
135,16,28,135,16
136,16,28,136,16
137,16,28,137,16
138,16,28,138,16
139,16,28,139,16
140,16,28,140,16
141,16,28,141,16
142,16,28,142,16
143,16,28,143,16
144,16,28,144,16
145,16,28,145,16
146,16,28,146,16
147,16,28,147,16
148,16,28,148,16
148,16,29,148,16
149,16,29,149,16
150,16,29,150,16
151,16,29,151,16
152,16,29,152,16
153,16,29,153,16
154,16,29,154,16
155,16,29,155,16
156,16,29,156,16
157,16,29,157,16
158,16,29,158,16
159,16,29,159,16
160,16,29,160,16
161,16,29,161,16
161,17,29,161,17
162,17,29,162,17
162,17,30,162,17
162,17,31,162,17
163,17,31,163,17
164,17,31,164,17
165,17,31,165,17
166,17,31,166,17
167,17,31,167,17
168,17,31,168,17
169,17,31,169,17
170,17,31,170,17
171,17,31,171,17
172,17,31,172,17
173,17,31,173,17
174,17,31,174,17
175,17,31,175,17
176,17,31,176,17
176,17,32,176,17
177,17,32,177,17
178,17,32,178,17
179,17,32,179,17
179,17,33,179,17
179,17,34,179,17
180,17,34,180,17
181,17,34,181,17
182,17,34,182,17
183,17,34,183,17
184,17,34,184,17
185,17,34,185,17
186,17,34,186,17
187,17,34,187,17
188,17,34,188,17
189,17,34,189,17
190,17,34,190,17
191,17,34,191,17
192,17,34,192,17
193,17,34,193,17
193,17,35,193,17
194,17,35,194,17
195,17,35,195,17
196,17,35,196,17
196,17,36,196,17
197,17,36,197,17
198,17,36,198,17
199,17,36,199,17
199,18,36,199,18
200,18,36,200,18
201,18,36,201,18
201,18,37,201,18
201,18,38,201,18
202,18,38,202,18
203,18,38,203,18
204,18,38,204,18
205,18,38,205,18
206,18,38,206,18
207,18,38,207,18
208,18,38,208,18
209,18,38,209,18
210,18,38,210,18
211,18,38,211,18
212,18,38,212,18
213,18,38,213,18
214,18,38,214,18
215,18,38,215,18
216,18,38,216,18
217,18,38,217,18
217,18,39,217,18
217,18,40,217,18
217,18,41,217,18
218,18,41,218,18
219,18,41,219,18
220,18,41,220,18
221,18,41,221,18
222,18,41,222,18
223,18,41,223,18
224,18,41,224,18
225,18,41,225,18
226,18,41,226,18
227,18,41,227,18
228,18,41,228,18
229,18,41,229,18
230,18,41,230,18
231,18,41,231,18
232,18,41,232,18
232,18,42,232,18
233,18,42,233,18
234,18,42,234,18
235,18,42,235,18
236,18,42,236,18
237,18,42,237,18
237,18,43,237,18
237,18,44,237,18
238,18,44,238,18
239,18,44,239,18
240,18,44,240,18
241,18,44,241,18
241,18,45,241,18
241,18,46,241,18
241,18,47,241,18
242,18,47,242,18
243,18,47,243,18
244,18,47,244,18
245,18,47,245,18
246,18,47,246,18
247,18,47,247,18
248,18,47,248,18
249,18,47,249,18
250,18,47,250,18
251,18,47,251,18
252,18,47,252,18
253,18,47,253,18
254,18,47,254,18
255,18,47,255,18
256,18,47,256,18
256,18,48,256,18
257,18,48,257,18
258,18,48,258,18
259,18,48,259,18
260,18,48,260,18
261,18,48,261,18
262,18,48,262,18
263,18,48,263,18
264,18,48,264,18
265,18,48,265,18
266,18,48,266,18
267,18,48,267,18
268,18,48,268,18
269,18,48,269,18
270,18,48,270,18
271,18,48,271,18
271,18,49,271,18
271,18,50,271,18
272,18,50,272,18
273,18,50,273,18
274,18,50,274,18
275,18,50,275,18
276,18,50,276,18
277,18,50,277,18
278,18,50,278,18
279,18,50,279,18
280,18,50,280,18
281,18,50,281,18
282,18,50,282,18
283,18,50,283,18
284,18,50,284,18
285,18,50,285,18
286,18,50,286,18
286,18,51,286,18
286,18,52,286,18
286,18,53,286,18
286,18,54,286,18
286,18,55,286,18
287,18,55,287,18
288,18,55,288,18
289,18,55,289,18
290,18,55,290,18
291,18,55,291,18
292,18,55,292,18
293,18,55,293,18
294,18,55,294,18
295,18,55,295,18
296,18,55,296,18
297,18,55,297,18
298,18,55,298,18
299,18,55,299,18
300,18,55,300,18
301,18,55,301,18
301,18,56,301,18
302,18,56,302,18
302,18,57,302,18
302,18,58,302,18
303,18,58,303,18
304,18,58,304,18
305,18,58,305,18
306,18,58,306,18
307,18,58,307,18
307,18,59,307,18
308,18,59,308,18
309,18,59,309,18
309,18,60,309,18
310,18,60,310,18
311,18,60,311,18
312,18,60,312,18
313,18,60,313,18
314,18,60,314,18
315,18,60,315,18
316,18,60,316,18
317,18,60,317,18
318,18,60,318,18
319,18,60,319,18
320,18,60,320,18
321,18,60,321,18
322,18,60,322,18
323,18,60,323,18
324,18,60,324,18
324,18,61,324,18
324,18,62,324,18
325,18,62,325,18
326,18,62,326,18
327,18,62,327,18
328,18,62,328,18
328,18,63,328,18
328,18,64,328,18
329,18,64,329,18
330,18,64,330,18
331,18,64,331,18
331,18,65,331,18
332,18,65,332,18
333,18,65,333,18
334,18,65,334,18
335,18,65,335,18
336,18,65,336,18
337,18,65,337,18
338,18,65,338,18
339,18,65,339,18
340,18,65,340,18
341,18,65,341,18
